sample	chr	startpos	endpos	nMajor	nMinor
TCGA-FC-A4JI	1	61735	52279712	1	1
TCGA-FC-A4JI	1	52281484	121482979	2	1
TCGA-FC-A4JI	1	144007049	167295838	3	3
TCGA-FC-A4JI	1	167301998	189325741	3	0
TCGA-FC-A4JI	1	189326337	189535715	0	0
TCGA-FC-A4JI	1	189537012	198733567	3	0
TCGA-FC-A4JI	1	198739230	209846414	3	3
TCGA-FC-A4JI	1	209850020	209916884	2	1
TCGA-FC-A4JI	1	209917865	224300090	3	3
TCGA-FC-A4JI	1	224304084	231987526	3	1
TCGA-FC-A4JI	1	231987893	249224388	3	3
TCGA-FC-A4JI	2	12784	33106250	2	2
TCGA-FC-A4JI	2	33107259	36614154	3	2
TCGA-FC-A4JI	2	36614180	102672689	2	2
TCGA-FC-A4JI	2	102673271	105054422	3	2
TCGA-FC-A4JI	2	105058458	114025372	2	2
TCGA-FC-A4JI	2	114026178	115802456	3	2
TCGA-FC-A4JI	2	115807036	117616653	2	0
TCGA-FC-A4JI	2	117617140	117894607	0	0
TCGA-FC-A4JI	2	117902393	133080864	2	0
TCGA-FC-A4JI	2	133081365	133313845	0	0
TCGA-FC-A4JI	2	133319651	140029010	2	0
TCGA-FC-A4JI	2	140036099	140482258	0	0
TCGA-FC-A4JI	2	140485823	142138062	2	0
TCGA-FC-A4JI	2	142142211	162127177	2	2
TCGA-FC-A4JI	2	162129063	162747384	2	0
TCGA-FC-A4JI	2	162747965	165103331	2	2
TCGA-FC-A4JI	2	165106704	165597300	1	0
TCGA-FC-A4JI	2	165598298	166123736	2	2
TCGA-FC-A4JI	2	166128541	166704727	2	0
TCGA-FC-A4JI	2	166704890	193646517	2	2
TCGA-FC-A4JI	2	193652000	243089456	2	1
TCGA-FC-A4JI	3	60345	22356259	2	2
TCGA-FC-A4JI	3	22356306	22389407	2	0
TCGA-FC-A4JI	3	22391617	66805021	2	2
TCGA-FC-A4JI	3	66805406	68796515	3	2
TCGA-FC-A4JI	3	68798960	78410933	2	2
TCGA-FC-A4JI	3	78410947	78499743	2	0
TCGA-FC-A4JI	3	78503357	80580874	2	2
TCGA-FC-A4JI	3	80581727	81525118	2	0
TCGA-FC-A4JI	3	81525893	85055550	2	2
TCGA-FC-A4JI	3	85056068	85107195	1	0
TCGA-FC-A4JI	3	85116013	87909084	3	2
TCGA-FC-A4JI	3	87909248	99097821	2	1
TCGA-FC-A4JI	3	99098904	99424238	2	0
TCGA-FC-A4JI	3	99425767	104387158	2	1
TCGA-FC-A4JI	3	104387174	105381246	2	2
TCGA-FC-A4JI	3	105386485	111698805	2	0
TCGA-FC-A4JI	3	111700305	115219247	2	1
TCGA-FC-A4JI	3	115219464	116382409	2	2
TCGA-FC-A4JI	3	116385285	117615664	2	1
TCGA-FC-A4JI	3	117618418	123291466	2	2
TCGA-FC-A4JI	3	123291619	123818100	3	2
TCGA-FC-A4JI	3	123822105	125894785	2	1
TCGA-FC-A4JI	3	125897538	127637193	3	2
TCGA-FC-A4JI	3	127639046	129239887	5	2
TCGA-FC-A4JI	3	129239972	131902397	3	2
TCGA-FC-A4JI	3	131903364	143141904	2	2
TCGA-FC-A4JI	3	143142260	147395723	4	2
TCGA-FC-A4JI	3	147395748	149269666	3	2
TCGA-FC-A4JI	3	149271087	151910328	6	2
TCGA-FC-A4JI	3	151910328	155013405	8	2
TCGA-FC-A4JI	3	155014193	163452803	2	2
TCGA-FC-A4JI	3	163452987	166673101	3	2
TCGA-FC-A4JI	3	166676839	167775964	3	3
TCGA-FC-A4JI	3	167776450	171226979	2	2
TCGA-FC-A4JI	3	171228688	176017114	4	2
TCGA-FC-A4JI	3	176017666	177298071	18	2
TCGA-FC-A4JI	3	177299269	179115380	10	2
TCGA-FC-A4JI	3	179115400	183867622	8	2
TCGA-FC-A4JI	3	183875822	197896118	2	1
TCGA-FC-A4JI	4	12281	106071597	2	1
TCGA-FC-A4JI	4	106072120	106672803	2	0
TCGA-FC-A4JI	4	106686646	116030398	2	1
TCGA-FC-A4JI	4	116030921	125361484	2	2
TCGA-FC-A4JI	4	125361767	130927461	2	1
TCGA-FC-A4JI	4	130929950	131324555	3	2
TCGA-FC-A4JI	4	131330314	131620483	2	0
TCGA-FC-A4JI	4	131620540	144741057	2	1
TCGA-FC-A4JI	4	144741513	172043438	2	2
TCGA-FC-A4JI	4	172046374	174633155	2	0
TCGA-FC-A4JI	4	174642677	180621668	2	2
TCGA-FC-A4JI	4	180621780	180709760	2	0
TCGA-FC-A4JI	4	180712235	187421298	2	2
TCGA-FC-A4JI	4	187421329	191027923	3	2
TCGA-FC-A4JI	5	15532	1778507	2	2
TCGA-FC-A4JI	5	1778779	4250316	3	2
TCGA-FC-A4JI	5	4252565	7116396	2	2
TCGA-FC-A4JI	5	7116413	8814787	3	2
TCGA-FC-A4JI	5	8814924	11011945	2	2
TCGA-FC-A4JI	5	11012130	13460821	3	2
TCGA-FC-A4JI	5	13464071	17454783	2	2
TCGA-FC-A4JI	5	17455566	30874224	3	2
TCGA-FC-A4JI	5	30875225	33328394	2	2
TCGA-FC-A4JI	5	33328418	40046070	3	2
TCGA-FC-A4JI	5	40046083	49441958	2	2
TCGA-FC-A4JI	5	49447306	180790320	2	0
TCGA-FC-A4JI	6	149661	57608067	2	1
TCGA-FC-A4JI	6	57608347	58152147	2	0
TCGA-FC-A4JI	6	58152441	61968652	2	1
