sample	chr	startpos	endpos	nMajor	nMinor
TCGA-CE-A27D	1	61735	249224388	1	1
TCGA-CE-A27D	2	12784	243089456	1	1
TCGA-CE-A27D	3	60345	174737604	1	1
TCGA-CE-A27D	3	174737689	177819288	2	0
TCGA-CE-A27D	3	177819411	197896118	1	1
TCGA-CE-A27D	4	12281	191027923	1	1
TCGA-CE-A27D	5	15532	404623	2	0
TCGA-CE-A27D	5	408069	180790320	1	1
TCGA-CE-A27D	6	149661	29488637	1	1
TCGA-CE-A27D	6	29489048	32059191	2	0
TCGA-CE-A27D	6	32059369	171051005	1	1
TCGA-CE-A27D	7	43259	159127004	1	1
TCGA-CE-A27D	8	31254	146298155	1	1
TCGA-CE-A27D	9	46587	141091394	1	1
TCGA-CE-A27D	10	72759	135506704	1	1
TCGA-CE-A27D	11	198572	45821620	1	1
TCGA-CE-A27D	11	45822435	56556627	2	0
TCGA-CE-A27D	11	56558210	134944770	1	1
TCGA-CE-A27D	12	150442	133778189	1	1
TCGA-CE-A27D	13	19026949	115108397	1	1
TCGA-CE-A27D	14	19002124	107285437	1	1
TCGA-CE-A27D	15	20016328	102469040	1	1
TCGA-CE-A27D	16	60777	35283226	1	1
TCGA-CE-A27D	16	46463782	48384344	2	0
TCGA-CE-A27D	16	48384344	90287535	1	1
TCGA-CE-A27D	17	526	81049726	1	1
TCGA-CE-A27D	18	48133	78015057	1	1
TCGA-CE-A27D	19	90910	59097854	1	1
TCGA-CE-A27D	20	61305	62956153	1	1
TCGA-CE-A27D	21	10736871	48096957	1	1
TCGA-CE-A27D	22	16052528	51234455	1	1
TCGA-CE-A27D	X	168477	53903538	1	1
TCGA-CE-A27D	X	53904844	67130358	2	0
TCGA-CE-A27D	X	67130648	155233846	1	1
