sample	chr	startpos	endpos	nMajor	nMinor
TCGA-BR-8590	1	61735	204886000	1	1
TCGA-BR-8590	1	204887233	249224388	2	1
TCGA-BR-8590	2	12784	62276726	1	1
TCGA-BR-8590	2	62276773	65434832	2	1
TCGA-BR-8590	2	65434880	243089456	1	1
TCGA-BR-8590	3	60345	122381117	1	1
TCGA-BR-8590	3	122381776	127610685	2	0
TCGA-BR-8590	3	127612826	197896118	2	1
TCGA-BR-8590	4	12281	191027923	1	1
TCGA-BR-8590	5	15532	142007761	1	1
TCGA-BR-8590	5	142008388	180790320	2	0
TCGA-BR-8590	6	149661	171051005	1	1
TCGA-BR-8590	7	43259	75625229	1	1
TCGA-BR-8590	7	75626995	76484028	5	0
TCGA-BR-8590	7	76484084	159127004	1	1
TCGA-BR-8590	8	31254	128114999	2	1
TCGA-BR-8590	8	128118106	129084718	6	3
TCGA-BR-8590	8	129084853	146298155	1	1
TCGA-BR-8590	9	46587	47217176	1	1
TCGA-BR-8590	9	65616971	141091394	1	0
TCGA-BR-8590	10	72759	121937460	1	1
TCGA-BR-8590	10	121937930	123775397	3	0
TCGA-BR-8590	10	123778139	135506704	1	1
TCGA-BR-8590	11	198572	34577972	1	1
TCGA-BR-8590	11	34578522	35373851	3	1
TCGA-BR-8590	11	35374008	117685705	1	1
TCGA-BR-8590	11	117686829	118749464	3	1
TCGA-BR-8590	11	118751326	134944770	1	1
TCGA-BR-8590	12	150442	13784750	1	0
TCGA-BR-8590	12	13785096	133778189	1	1
TCGA-BR-8590	13	19026949	115108397	1	1
TCGA-BR-8590	14	19002124	107285437	1	1
TCGA-BR-8590	15	20016328	102469040	1	1
TCGA-BR-8590	16	60777	90287535	1	1
TCGA-BR-8590	17	526	21855290	1	0
TCGA-BR-8590	17	21855589	36804733	1	1
TCGA-BR-8590	17	36805106	39900341	2	0
TCGA-BR-8590	17	39901549	48252038	1	0
TCGA-BR-8590	17	48256110	81049726	1	1
TCGA-BR-8590	18	48133	78015057	1	1
TCGA-BR-8590	19	90910	29825214	1	1
TCGA-BR-8590	19	29830629	31321319	2	2
TCGA-BR-8590	19	31321565	59097854	1	1
TCGA-BR-8590	20	61305	62956153	2	1
TCGA-BR-8590	21	10736871	48096957	1	1
TCGA-BR-8590	22	16052528	51234455	1	1
TCGA-BR-8590	X	168477	2703391	1	0
TCGA-BR-8590	X	2703633	5593205	0	0
TCGA-BR-8590	X	5600109	7096002	1	0
TCGA-BR-8590	X	7099256	10812429	0	0
TCGA-BR-8590	X	10813683	155233846	1	0
