sample	chr	startpos	endpos	nMajor	nMinor
TCGA-CM-5860	1	61735	249224388	2	1
TCGA-CM-5860	2	12784	243089456	3	0
TCGA-CM-5860	3	60345	60218434	2	1
TCGA-CM-5860	3	60218465	60540090	1	0
TCGA-CM-5860	3	60543483	197896118	2	1
TCGA-CM-5860	4	12281	191027923	2	1
TCGA-CM-5860	5	15532	180790320	2	2
TCGA-CM-5860	6	149661	93236448	3	1
TCGA-CM-5860	6	93238823	115349860	1	0
TCGA-CM-5860	6	115368797	171051005	3	1
TCGA-CM-5860	7	43259	90388502	5	2
TCGA-CM-5860	7	90388608	102317109	3	2
TCGA-CM-5860	7	102335787	111165427	4	2
TCGA-CM-5860	7	111166165	159127004	4	0
TCGA-CM-5860	8	31254	26159775	1	0
TCGA-CM-5860	8	26166329	26455955	4	1
TCGA-CM-5860	8	26459892	31794714	1	0
TCGA-CM-5860	8	31802498	33527874	4	1
TCGA-CM-5860	8	33532126	33740577	1	0
TCGA-CM-5860	8	33745928	33917651	5	0
TCGA-CM-5860	8	33919205	34997591	1	0
TCGA-CM-5860	8	34998136	39884082	4	1
TCGA-CM-5860	8	39884574	39906703	1	0
TCGA-CM-5860	8	39910665	146298155	4	1
TCGA-CM-5860	9	46587	141091394	3	0
TCGA-CM-5860	10	72759	135506704	2	2
TCGA-CM-5860	11	198572	134944770	2	1
TCGA-CM-5860	12	150442	133778189	2	2
TCGA-CM-5860	13	19026949	115108397	3	3
TCGA-CM-5860	14	19002124	107285437	2	1
TCGA-CM-5860	15	20016328	102469040	2	1
TCGA-CM-5860	16	60777	6312180	2	2
TCGA-CM-5860	16	6312952	6585695	1	1
TCGA-CM-5860	16	6586059	6792419	1	0
TCGA-CM-5860	16	6793650	7156382	1	1
TCGA-CM-5860	16	7156683	78724705	2	2
TCGA-CM-5860	16	78725014	78983840	2	1
TCGA-CM-5860	16	78984097	90287535	2	2
TCGA-CM-5860	17	526	81049726	3	0
TCGA-CM-5860	18	48133	78015057	3	0
TCGA-CM-5860	19	90910	59097854	3	2
TCGA-CM-5860	20	61305	14756166	3	0
TCGA-CM-5860	20	14758111	15315658	0	0
TCGA-CM-5860	20	15316210	15450649	1	0
TCGA-CM-5860	20	15450745	26228797	3	0
TCGA-CM-5860	20	26231808	62956153	4	3
TCGA-CM-5860	21	10736871	48096957	2	0
TCGA-CM-5860	22	16052528	51234455	2	1
TCGA-CM-5860	X	168477	7100205	3	0
TCGA-CM-5860	X	7103206	7745011	2	0
TCGA-CM-5860	X	7745030	155233846	3	0
