sample	chr	startpos	endpos	nMajor	nMinor
TCGA-BR-6706-b	1	61735	37562791	1	0
TCGA-BR-6706-b	1	37563638	66857733	1	1
TCGA-BR-6706-b	1	66857915	69845440	1	0
TCGA-BR-6706-b	1	69846594	107587027	1	1
TCGA-BR-6706-b	1	107590310	108878937	2	0
TCGA-BR-6706-b	1	108879304	160329923	1	1
TCGA-BR-6706-b	1	160331019	161052937	1	0
TCGA-BR-6706-b	1	161053427	173564470	1	1
TCGA-BR-6706-b	1	173564743	174963373	2	0
TCGA-BR-6706-b	1	174964850	249224388	1	1
TCGA-BR-6706-b	2	12784	72262348	1	1
TCGA-BR-6706-b	2	72263628	74880273	2	0
TCGA-BR-6706-b	2	74884611	137344013	1	1
TCGA-BR-6706-b	2	137348754	137507689	2	0
TCGA-BR-6706-b	2	137511062	141388483	1	1
TCGA-BR-6706-b	2	141389082	141849043	2	0
TCGA-BR-6706-b	2	141856616	175590256	1	1
TCGA-BR-6706-b	2	175590459	176680712	2	0
TCGA-BR-6706-b	2	176685499	243089456	1	1
TCGA-BR-6706-b	3	60345	353520	2	0
TCGA-BR-6706-b	3	353918	60110529	1	1
TCGA-BR-6706-b	3	60110558	60686772	1	0
TCGA-BR-6706-b	3	60688702	79861737	1	1
TCGA-BR-6706-b	3	79861775	81833431	2	0
TCGA-BR-6706-b	3	81835685	169758135	1	1
TCGA-BR-6706-b	3	169758931	170442722	4	1
TCGA-BR-6706-b	3	170442832	171301112	2	1
TCGA-BR-6706-b	3	171301237	171606802	4	1
TCGA-BR-6706-b	3	171607945	197896118	1	1
TCGA-BR-6706-b	4	12281	64786916	1	1
TCGA-BR-6706-b	4	64787558	66163335	2	0
TCGA-BR-6706-b	4	66163622	191027923	1	1
TCGA-BR-6706-b	5	15532	355159	2	0
TCGA-BR-6706-b	5	361609	1418426	2	1
TCGA-BR-6706-b	5	1419535	87822806	1	1
TCGA-BR-6706-b	5	87827145	89460396	2	0
TCGA-BR-6706-b	5	89460658	109537287	1	1
TCGA-BR-6706-b	5	109538265	110636382	2	0
TCGA-BR-6706-b	5	110644438	180494266	1	1
TCGA-BR-6706-b	5	180498121	180790320	1	0
TCGA-BR-6706-b	6	149661	92021630	1	1
TCGA-BR-6706-b	6	92022067	93733197	2	0
TCGA-BR-6706-b	6	93733384	149377161	1	1
TCGA-BR-6706-b	6	149377873	150452151	2	0
TCGA-BR-6706-b	6	150452697	169724056	1	1
TCGA-BR-6706-b	6	169724712	170453351	2	0
TCGA-BR-6706-b	6	170462313	171051005	1	1
TCGA-BR-6706-b	7	43259	55077293	1	1
TCGA-BR-6706-b	7	55082175	55591891	21	0
TCGA-BR-6706-b	7	55592518	55625484	2	0
TCGA-BR-6706-b	7	55629723	159127004	1	1
TCGA-BR-6706-b	8	31254	25742049	1	1
TCGA-BR-6706-b	8	25742279	26665019	2	0
TCGA-BR-6706-b	8	26666546	89181193	1	1
TCGA-BR-6706-b	8	89191501	90626218	2	0
TCGA-BR-6706-b	8	90626359	125713533	1	1
TCGA-BR-6706-b	8	125713745	126666126	2	0
TCGA-BR-6706-b	8	126667047	146298155	1	1
TCGA-BR-6706-b	9	46587	2168998	1	1
TCGA-BR-6706-b	9	2169947	3867146	2	0
TCGA-BR-6706-b	9	3867342	4124542	1	1
TCGA-BR-6706-b	9	4127906	4495859	3	1
TCGA-BR-6706-b	9	4497428	4764210	2	1
TCGA-BR-6706-b	9	4772328	5037460	17	0
TCGA-BR-6706-b	9	5037461	5603334	30	0
TCGA-BR-6706-b	9	5606716	5703463	6	0
TCGA-BR-6706-b	9	5703819	6235950	2	1
TCGA-BR-6706-b	9	6236350	6656619	8	1
TCGA-BR-6706-b	9	6657192	6869665	4	1
TCGA-BR-6706-b	9	6873334	47217176	1	1
TCGA-BR-6706-b	9	65616971	71187538	2	0
TCGA-BR-6706-b	9	71188355	83117307	1	1
TCGA-BR-6706-b	9	83117474	83636285	2	0
TCGA-BR-6706-b	9	83636366	141091394	1	1
TCGA-BR-6706-b	10	72759	688424	2	0
TCGA-BR-6706-b	10	690039	68762083	1	1
TCGA-BR-6706-b	10	68762744	69908932	2	0
TCGA-BR-6706-b	10	69910566	80516937	1	1
TCGA-BR-6706-b	10	80517040	92041655	1	0
TCGA-BR-6706-b	10	92047085	134966362	1	1
TCGA-BR-6706-b	10	134967288	135506704	2	0
