sample	chr	startpos	endpos	nMajor	nMinor
TCGA-L5-A891	1	61735	19117300	2	2
TCGA-L5-A891	1	19119305	19542799	4	2
TCGA-L5-A891	1	19542915	41794301	2	2
TCGA-L5-A891	1	41794403	42103220	3	2
TCGA-L5-A891	1	42105182	61865995	2	2
TCGA-L5-A891	1	61866125	62317932	4	2
TCGA-L5-A891	1	62322845	76557050	2	2
TCGA-L5-A891	1	76557943	77605888	2	1
TCGA-L5-A891	1	77606602	77934335	2	2
TCGA-L5-A891	1	77935482	78749908	3	2
TCGA-L5-A891	1	78751573	108565591	2	2
TCGA-L5-A891	1	108567998	110955297	3	2
TCGA-L5-A891	1	110957709	121482979	2	2
TCGA-L5-A891	1	144007049	153280156	2	1
TCGA-L5-A891	1	153281438	153945644	3	2
TCGA-L5-A891	1	153946457	156271014	2	1
TCGA-L5-A891	1	156271819	156645524	5	1
TCGA-L5-A891	1	156647931	168727564	2	1
TCGA-L5-A891	1	168728472	169359672	7	1
TCGA-L5-A891	1	169361987	183327866	2	1
TCGA-L5-A891	1	183327971	188048123	2	2
TCGA-L5-A891	1	188048430	205610774	2	1
TCGA-L5-A891	1	205611703	206329939	5	2
TCGA-L5-A891	1	206539651	206926492	2	2
TCGA-L5-A891	1	206926846	234677737	2	1
TCGA-L5-A891	1	234679850	234856390	5	1
TCGA-L5-A891	1	234858061	237613571	2	1
TCGA-L5-A891	1	237616553	240993889	3	1
TCGA-L5-A891	1	240996956	243782449	2	1
TCGA-L5-A891	1	243783799	246011033	3	1
TCGA-L5-A891	1	246011399	249224388	2	1
TCGA-L5-A891	2	12784	101577225	2	1
TCGA-L5-A891	2	101577480	102053363	2	2
TCGA-L5-A891	2	102055093	105854169	2	1
TCGA-L5-A891	2	105854604	106419015	4	1
TCGA-L5-A891	2	106422532	106730933	3	1
TCGA-L5-A891	2	106732545	175058225	2	1
TCGA-L5-A891	2	175058779	175329666	3	2
TCGA-L5-A891	2	175330151	177648497	2	1
TCGA-L5-A891	2	177648762	178286490	3	1
TCGA-L5-A891	2	178286549	235215769	2	1
TCGA-L5-A891	2	235216733	237124498	2	2
TCGA-L5-A891	2	237125171	243089456	2	1
TCGA-L5-A891	3	60345	14240386	2	2
TCGA-L5-A891	3	14241000	14582923	4	2
TCGA-L5-A891	3	14582939	40003898	2	2
TCGA-L5-A891	3	40004366	40925529	4	2
TCGA-L5-A891	3	40925947	41314304	4	3
TCGA-L5-A891	3	41317668	42006558	4	2
TCGA-L5-A891	3	42007339	48179938	3	2
TCGA-L5-A891	3	48185228	133594691	2	2
TCGA-L5-A891	3	133595012	134109877	4	2
TCGA-L5-A891	3	134113292	142664512	2	2
TCGA-L5-A891	3	142664819	145355636	2	1
TCGA-L5-A891	3	145357593	148974301	2	2
TCGA-L5-A891	3	148976842	149231125	4	2
TCGA-L5-A891	3	149232290	151260547	2	2
TCGA-L5-A891	3	151264345	165391727	2	1
TCGA-L5-A891	3	165395713	166427551	4	1
TCGA-L5-A891	3	166430855	197896118	2	1
TCGA-L5-A891	4	12281	90494674	2	0
TCGA-L5-A891	4	90498133	91141856	3	0
TCGA-L5-A891	4	91142934	151861070	2	0
TCGA-L5-A891	4	151866112	152589891	4	0
TCGA-L5-A891	4	152593382	152605449	3	0
TCGA-L5-A891	4	152605621	174051131	2	0
TCGA-L5-A891	4	174051451	174237278	3	0
TCGA-L5-A891	4	174237598	191027923	2	0
TCGA-L5-A891	5	15532	46191398	2	2
TCGA-L5-A891	5	46191884	149218847	2	0
TCGA-L5-A891	5	149221165	149766591	4	0
TCGA-L5-A891	5	149766790	176575731	2	0
TCGA-L5-A891	5	176594118	177400283	3	0
TCGA-L5-A891	5	177400868	180790320	2	0
TCGA-L5-A891	6	149661	48504930	2	1
TCGA-L5-A891	6	48507289	74179409	2	2
TCGA-L5-A891	6	74180970	74432663	5	2
TCGA-L5-A891	6	74433212	99056083	3	2
TCGA-L5-A891	6	99059009	99217018	2	1
TCGA-L5-A891	6	99218041	125053319	3	2
TCGA-L5-A891	6	125053562	126126071	4	2
TCGA-L5-A891	6	126129256	135349964	3	2
TCGA-L5-A891	6	135350950	135828747	10	2
TCGA-L5-A891	6	135829796	138129274	3	2
TCGA-L5-A891	6	138129456	138519084	4	2
TCGA-L5-A891	6	138519929	147015299	3	2
TCGA-L5-A891	6	147021119	155482304	2	1
TCGA-L5-A891	6	155482618	155585216	2	2
TCGA-L5-A891	6	155585233	171051005	2	1
TCGA-L5-A891	7	43259	19791585	2	2
TCGA-L5-A891	7	19791607	20849921	3	2
TCGA-L5-A891	7	20850305	32937395	2	2
TCGA-L5-A891	7	32940182	33084777	2	1
TCGA-L5-A891	7	33091077	35898174	2	2
TCGA-L5-A891	7	35898269	36449851	3	2
TCGA-L5-A891	7	36450271	65960257	2	2
TCGA-L5-A891	7	65960257	66117129	4	2
TCGA-L5-A891	7	66121362	149460024	2	2
TCGA-L5-A891	7	149465080	150351901	4	2
TCGA-L5-A891	7	150351990	159127004	2	2
TCGA-L5-A891	8	31254	33246562	1	1
TCGA-L5-A891	8	33246685	35095396	4	3
TCGA-L5-A891	8	35097532	37336015	3	3
TCGA-L5-A891	8	37336070	37632110	7	3
TCGA-L5-A891	8	37643123	40024641	3	2
TCGA-L5-A891	8	40026441	107791095	2	2
TCGA-L5-A891	8	107791853	108220671	3	2
TCGA-L5-A891	8	108221162	146298155	2	2
TCGA-L5-A891	9	46587	71093494	2	1
TCGA-L5-A891	9	71097842	71636359	4	1
TCGA-L5-A891	9	71636650	139823622	2	1
TCGA-L5-A891	9	139825048	141091394	2	2
TCGA-L5-A891	10	72759	14395828	4	1
TCGA-L5-A891	10	14400359	95023964	2	1
TCGA-L5-A891	10	95027617	95505319	2	2
TCGA-L5-A891	10	95509444	115035475	2	1
TCGA-L5-A891	10	115036523	115620229	5	1
TCGA-L5-A891	10	115633237	135506704	2	1
TCGA-L5-A891	11	198572	2053932	2	1
TCGA-L5-A891	11	2054501	2479195	3	1
TCGA-L5-A891	11	2479945	3991750	1	0
TCGA-L5-A891	11	3992286	22694980	2	1
TCGA-L5-A891	11	22695165	22993596	1	1
TCGA-L5-A891	11	22999834	34326558	2	1
TCGA-L5-A891	11	34326709	34987061	2	2
TCGA-L5-A891	11	34989290	59486481	2	1
TCGA-L5-A891	11	59486534	60091449	4	1
TCGA-L5-A891	11	60091714	63702635	2	1
TCGA-L5-A891	11	63702910	69607507	4	1
TCGA-L5-A891	11	69608132	70399146	6	1
TCGA-L5-A891	11	70399859	70924933	4	1
TCGA-L5-A891	11	70927425	71109434	3	3
TCGA-L5-A891	11	71109916	75914087	4	1
TCGA-L5-A891	11	75915139	88347531	2	1
TCGA-L5-A891	11	88348173	89383854	1	0
TCGA-L5-A891	11	89392089	94944960	2	1
TCGA-L5-A891	11	94945284	116364117	1	0
TCGA-L5-A891	11	116370350	116536476	3	0
TCGA-L5-A891	11	116536490	134944770	1	0
TCGA-L5-A891	12	150442	52734580	2	0
TCGA-L5-A891	12	52736670	65268611	2	1
TCGA-L5-A891	12	65269047	65688572	3	2
TCGA-L5-A891	12	65691530	124880884	2	1
TCGA-L5-A891	12	124880885	125314505	3	1
TCGA-L5-A891	12	125316660	133778189	2	1
TCGA-L5-A891	13	19026949	105189457	3	0
TCGA-L5-A891	13	105192671	108827154	4	0
TCGA-L5-A891	13	108833284	115108397	3	0
TCGA-L5-A891	14	19002124	50273283	2	0
TCGA-L5-A891	14	50274220	50786746	3	0
TCGA-L5-A891	14	50787115	56089094	2	0
TCGA-L5-A891	14	56092357	56252697	3	0
TCGA-L5-A891	14	56257207	77922049	2	0
TCGA-L5-A891	14	77923569	80545437	2	1
TCGA-L5-A891	14	80545828	107285437	2	0
TCGA-L5-A891	15	20016328	27685055	2	1
TCGA-L5-A891	15	27685647	28155010	3	2
TCGA-L5-A891	15	28155193	40446335	2	1
TCGA-L5-A891	15	40450725	40942042	4	2
TCGA-L5-A891	15	40944103	66641278	2	1
TCGA-L5-A891	15	66641732	67477304	2	2
TCGA-L5-A891	15	67478125	102469040	2	1
TCGA-L5-A891	16	60777	84995443	2	0
TCGA-L5-A891	16	84995658	85567106	3	0
TCGA-L5-A891	16	85567156	90287535	2	0
TCGA-L5-A891	17	526	35882300	2	0
TCGA-L5-A891	17	35884975	38895017	3	0
TCGA-L5-A891	17	38895500	63253687	2	0
TCGA-L5-A891	17	63254193	63411293	3	0
TCGA-L5-A891	17	63411857	81049726	2	0
TCGA-L5-A891	18	48133	46138394	2	0
TCGA-L5-A891	18	46140691	78015057	1	0
TCGA-L5-A891	19	90910	9153607	2	0
TCGA-L5-A891	19	9157013	9393110	3	3
TCGA-L5-A891	19	9399789	9998361	2	0
TCGA-L5-A891	19	10000306	11459307	2	1
TCGA-L5-A891	19	11465129	20213472	2	0
TCGA-L5-A891	19	20217169	20235382	12	0
TCGA-L5-A891	19	20235839	20240087	9	3
TCGA-L5-A891	19	20240308	20377670	10	2
TCGA-L5-A891	19	20380367	21624857	2	1
TCGA-L5-A891	19	21624926	21754713	2	0
TCGA-L5-A891	19	21755324	21964322	4	1
TCGA-L5-A891	19	21966622	22548121	2	0
TCGA-L5-A891	19	22551419	22728588	3	3
TCGA-L5-A891	19	22729582	22770802	4	1
TCGA-L5-A891	19	22771915	28195025	2	0
TCGA-L5-A891	19	28195027	28332455	5	0
