sample	chr	startpos	endpos	nMajor	nMinor
TCGA-B5-A3FC	1	61735	245763305	1	1
TCGA-B5-A3FC	1	245765916	246459548	1	0
TCGA-B5-A3FC	1	246460185	249224388	1	1
TCGA-B5-A3FC	2	12784	243089456	1	1
TCGA-B5-A3FC	3	60345	9310535	1	1
TCGA-B5-A3FC	3	9311215	9599804	2	1
TCGA-B5-A3FC	3	9600773	197896118	1	1
TCGA-B5-A3FC	4	12281	65113108	1	1
TCGA-B5-A3FC	4	65113157	66099506	2	1
TCGA-B5-A3FC	4	66099612	66568856	1	1
TCGA-B5-A3FC	4	66569307	66920623	2	1
TCGA-B5-A3FC	4	66920822	182183915	1	1
TCGA-B5-A3FC	4	182183963	182911119	2	1
TCGA-B5-A3FC	4	182911704	191027923	1	1
TCGA-B5-A3FC	5	15532	180790320	1	1
TCGA-B5-A3FC	6	149661	110688137	1	1
TCGA-B5-A3FC	6	110690440	111320839	2	1
TCGA-B5-A3FC	6	111321037	171051005	1	1
TCGA-B5-A3FC	7	43259	159127004	1	1
TCGA-B5-A3FC	8	31254	146298155	1	1
TCGA-B5-A3FC	9	46587	141091394	1	1
TCGA-B5-A3FC	10	72759	75144601	1	1
TCGA-B5-A3FC	10	75157029	75984800	2	1
TCGA-B5-A3FC	10	75991641	135506704	1	1
TCGA-B5-A3FC	11	198572	134944770	1	1
TCGA-B5-A3FC	12	150442	133778189	1	1
TCGA-B5-A3FC	13	19026949	115108397	1	1
TCGA-B5-A3FC	14	19002124	107285437	1	1
TCGA-B5-A3FC	15	20016328	102469040	1	1
TCGA-B5-A3FC	16	60777	90287535	1	1
TCGA-B5-A3FC	17	526	61827856	1	1
TCGA-B5-A3FC	17	61828589	62237500	2	1
TCGA-B5-A3FC	17	62242678	81049726	1	1
TCGA-B5-A3FC	18	48133	20672555	1	1
TCGA-B5-A3FC	18	20679860	21617847	2	1
TCGA-B5-A3FC	18	21618986	44827780	1	1
TCGA-B5-A3FC	18	44828605	45422477	1	0
TCGA-B5-A3FC	18	45422939	73107145	1	1
TCGA-B5-A3FC	18	73108338	73769974	2	1
TCGA-B5-A3FC	18	73770472	78015057	1	1
TCGA-B5-A3FC	19	90910	36035644	1	1
TCGA-B5-A3FC	19	36038390	36407798	3	1
TCGA-B5-A3FC	19	36410075	59097854	1	1
TCGA-B5-A3FC	20	61305	62956153	1	1
TCGA-B5-A3FC	21	10736871	48096957	1	1
TCGA-B5-A3FC	22	16052528	51234455	1	1
TCGA-B5-A3FC	X	168477	148511551	1	1
TCGA-B5-A3FC	X	148512811	150384033	1	0
TCGA-B5-A3FC	X	150384812	152059385	1	1
TCGA-B5-A3FC	X	152060872	152074779	2	0
TCGA-B5-A3FC	X	152076879	152228941	1	0
TCGA-B5-A3FC	X	152328922	152478133	2	1
TCGA-B5-A3FC	X	152478171	155233846	1	1
