sample	chr	startpos	endpos	nMajor	nMinor
TCGA-98-A53I	1	61735	121482979	1	0
TCGA-98-A53I	1	144007049	145390170	2	1
TCGA-98-A53I	1	145391761	186658347	2	2
TCGA-98-A53I	1	186658830	249224388	2	0
TCGA-98-A53I	2	12784	111772036	2	1
TCGA-98-A53I	2	111772773	112056290	3	1
TCGA-98-A53I	2	112056364	243089456	1	1
TCGA-98-A53I	3	60345	4336589	2	0
TCGA-98-A53I	3	4336874	4954889	0	0
TCGA-98-A53I	3	4965470	11351806	1	0
TCGA-98-A53I	3	11363043	11674229	0	0
TCGA-98-A53I	3	11674452	90502862	1	0
TCGA-98-A53I	3	93519478	189438979	3	2
TCGA-98-A53I	3	189439410	189830274	4	3
TCGA-98-A53I	3	189832890	197896118	3	2
TCGA-98-A53I	4	12281	191027923	1	0
TCGA-98-A53I	5	15532	49573125	2	1
TCGA-98-A53I	5	49573142	180790320	1	1
TCGA-98-A53I	6	149661	3686521	0	0
TCGA-98-A53I	6	3687314	37097551	2	0
TCGA-98-A53I	6	37097618	37978306	5	2
TCGA-98-A53I	6	37985025	38694173	3	2
TCGA-98-A53I	6	38694344	41536427	2	1
TCGA-98-A53I	6	41540809	44619015	3	1
TCGA-98-A53I	6	44623053	45203054	12	2
TCGA-98-A53I	6	45206283	45246309	7	0
TCGA-98-A53I	6	45246577	63006063	2	1
TCGA-98-A53I	6	63008596	87620651	3	1
TCGA-98-A53I	6	87621912	90577984	10	1
TCGA-98-A53I	6	90586725	90882986	4	1
TCGA-98-A53I	6	90885503	171051005	1	0
TCGA-98-A53I	7	43259	159127004	1	1
TCGA-98-A53I	8	31254	146298155	1	1
TCGA-98-A53I	9	46587	27188831	2	0
TCGA-98-A53I	9	27188862	31178229	5	2
TCGA-98-A53I	9	31182134	47217176	2	1
TCGA-98-A53I	9	65616971	141091394	2	0
TCGA-98-A53I	10	72759	84917497	1	1
TCGA-98-A53I	10	84918329	135506704	1	0
TCGA-98-A53I	11	198572	61223113	1	1
TCGA-98-A53I	11	61225365	73532857	1	0
TCGA-98-A53I	11	73532916	91614882	1	1
TCGA-98-A53I	11	91617002	134944770	1	0
TCGA-98-A53I	12	150442	133778189	1	1
TCGA-98-A53I	13	19026949	115108397	1	0
TCGA-98-A53I	14	19002124	54178758	2	1
TCGA-98-A53I	14	54178890	88809657	1	1
TCGA-98-A53I	14	88811902	107285437	1	0
TCGA-98-A53I	15	20016328	102469040	1	1
TCGA-98-A53I	16	60777	90287535	1	1
TCGA-98-A53I	17	526	15160848	2	0
TCGA-98-A53I	17	15161172	25302310	1	0
TCGA-98-A53I	17	25309463	46008306	1	1
TCGA-98-A53I	17	46009184	81049726	2	2
TCGA-98-A53I	18	48133	78015057	1	1
TCGA-98-A53I	19	90910	59097854	1	1
TCGA-98-A53I	20	61305	26223669	2	0
TCGA-98-A53I	20	26223907	62956153	2	1
TCGA-98-A53I	21	10736871	48096957	1	0
TCGA-98-A53I	22	16052528	46074271	1	1
TCGA-98-A53I	22	46074586	49628164	2	1
TCGA-98-A53I	22	49633896	51234455	1	0
TCGA-98-A53I	X	168477	155233846	1	0
