sample	chr	startpos	endpos	nMajor	nMinor
TCGA-KK-A8IL	1	61735	220803803	1	1
TCGA-KK-A8IL	1	220804454	243911624	1	0
TCGA-KK-A8IL	1	243914611	249224388	1	1
TCGA-KK-A8IL	2	12784	43096136	1	1
TCGA-KK-A8IL	2	43103442	43782868	1	0
TCGA-KK-A8IL	2	43783294	243089456	1	1
TCGA-KK-A8IL	3	60345	197896118	1	1
TCGA-KK-A8IL	4	12281	67675713	1	1
TCGA-KK-A8IL	4	67675763	69661427	2	0
TCGA-KK-A8IL	4	69665571	87538466	1	1
TCGA-KK-A8IL	4	87546156	104007949	1	0
TCGA-KK-A8IL	4	104007996	191027923	1	1
TCGA-KK-A8IL	5	15532	180790320	1	1
TCGA-KK-A8IL	6	149661	171051005	1	1
TCGA-KK-A8IL	7	43259	159127004	1	1
TCGA-KK-A8IL	8	31254	21306422	1	1
TCGA-KK-A8IL	8	21306658	21470237	1	0
TCGA-KK-A8IL	8	21470638	146298155	1	1
TCGA-KK-A8IL	9	46587	141091394	1	1
TCGA-KK-A8IL	10	72759	135506704	1	1
TCGA-KK-A8IL	11	198572	134944770	1	1
TCGA-KK-A8IL	12	150442	133778189	1	1
TCGA-KK-A8IL	13	19026949	115108397	1	1
TCGA-KK-A8IL	14	19002124	107285437	1	1
TCGA-KK-A8IL	15	20016328	102469040	1	1
TCGA-KK-A8IL	16	60777	90287535	1	1
TCGA-KK-A8IL	17	526	7158043	1	1
TCGA-KK-A8IL	17	7158498	8070788	1	0
TCGA-KK-A8IL	17	8071946	81049726	1	1
TCGA-KK-A8IL	18	48133	55846535	1	1
TCGA-KK-A8IL	18	55847380	59847526	1	0
TCGA-KK-A8IL	18	59847669	78015057	1	1
TCGA-KK-A8IL	19	90910	59097854	1	1
TCGA-KK-A8IL	20	61305	62956153	1	1
TCGA-KK-A8IL	21	10736871	48096957	1	1
TCGA-KK-A8IL	22	16052528	51234455	1	1
TCGA-KK-A8IL	X	168477	2703955	2	1
TCGA-KK-A8IL	X	2706944	154929498	1	0
TCGA-KK-A8IL	X	154963439	155233846	2	1
