sample	chr	startpos	endpos	nMajor	nMinor
TCGA-EJ-5516	1	61735	249224388	1	1
TCGA-EJ-5516	2	12784	30432115	1	1
TCGA-EJ-5516	2	30433569	33817369	1	0
TCGA-EJ-5516	2	33817559	243089456	1	1
TCGA-EJ-5516	3	60345	197896118	1	1
TCGA-EJ-5516	4	12281	191027923	1	1
TCGA-EJ-5516	5	15532	66771291	1	1
TCGA-EJ-5516	5	66771669	71611509	1	0
TCGA-EJ-5516	5	71612913	180790320	1	1
TCGA-EJ-5516	6	149661	20893385	1	1
TCGA-EJ-5516	6	20894146	27801122	1	0
TCGA-EJ-5516	6	27803189	148893734	1	1
TCGA-EJ-5516	6	148894484	149814658	1	0
TCGA-EJ-5516	6	149814762	160282155	1	1
TCGA-EJ-5516	6	160283280	165458571	1	0
TCGA-EJ-5516	6	165458739	171051005	1	1
TCGA-EJ-5516	7	43259	66246598	1	1
TCGA-EJ-5516	7	66248085	72854117	1	0
TCGA-EJ-5516	7	72857049	101341316	1	1
TCGA-EJ-5516	7	101341337	105231358	1	0
TCGA-EJ-5516	7	105231535	159127004	1	1
TCGA-EJ-5516	8	31254	146298155	1	1
TCGA-EJ-5516	9	46587	141091394	1	1
TCGA-EJ-5516	10	72759	2937138	1	1
TCGA-EJ-5516	10	2937184	6404210	1	0
TCGA-EJ-5516	10	6404700	88156450	1	1
TCGA-EJ-5516	10	88156839	89674110	1	0
TCGA-EJ-5516	10	89674135	89837591	0	0
TCGA-EJ-5516	10	89840427	90567278	1	0
TCGA-EJ-5516	10	90569682	100403046	1	1
TCGA-EJ-5516	10	100403910	102261409	1	0
TCGA-EJ-5516	10	102262123	135506704	1	1
TCGA-EJ-5516	11	198572	10948708	1	1
TCGA-EJ-5516	11	10950973	12355824	1	0
TCGA-EJ-5516	11	12362700	123007216	1	1
TCGA-EJ-5516	11	123007582	123023983	0	0
TCGA-EJ-5516	11	123024166	134944770	1	1
TCGA-EJ-5516	12	150442	6922494	1	1
TCGA-EJ-5516	12	6922702	9084534	1	0
TCGA-EJ-5516	12	9084678	133778189	1	1
TCGA-EJ-5516	13	19026949	22422301	1	1
TCGA-EJ-5516	13	22422360	24030514	1	0
TCGA-EJ-5516	13	24031093	30353345	1	1
TCGA-EJ-5516	13	30353793	115108397	1	0
TCGA-EJ-5516	14	19002124	20957471	1	1
TCGA-EJ-5516	14	20957490	20999685	0	0
TCGA-EJ-5516	14	21004037	76110632	1	1
TCGA-EJ-5516	14	76111560	77784658	1	0
TCGA-EJ-5516	14	77784784	107285437	1	1
TCGA-EJ-5516	15	20016328	102469040	1	1
TCGA-EJ-5516	16	60777	71923720	1	1
TCGA-EJ-5516	16	71928065	72980518	1	0
TCGA-EJ-5516	16	72980940	80528212	1	1
TCGA-EJ-5516	16	80529235	90287535	1	0
TCGA-EJ-5516	17	526	41709535	1	1
TCGA-EJ-5516	17	41709750	42487579	1	0
TCGA-EJ-5516	17	42489629	81049726	1	1
TCGA-EJ-5516	18	48133	14972054	1	1
TCGA-EJ-5516	18	14978127	22045833	1	0
TCGA-EJ-5516	18	22046656	74497536	1	1
TCGA-EJ-5516	18	74497679	75197953	1	0
TCGA-EJ-5516	18	75198145	78015057	1	1
TCGA-EJ-5516	19	90910	5614313	1	1
TCGA-EJ-5516	19	5615795	7635804	1	0
TCGA-EJ-5516	19	7635871	59097854	1	1
TCGA-EJ-5516	20	61305	1406877	1	0
TCGA-EJ-5516	20	1407179	62956153	1	1
TCGA-EJ-5516	21	10736871	48096957	1	1
TCGA-EJ-5516	22	16052528	51234455	1	1
TCGA-EJ-5516	X	168477	2694240	1	1
TCGA-EJ-5516	X	2703391	19478043	1	0
TCGA-EJ-5516	X	19480270	19508909	0	0
TCGA-EJ-5516	X	19509554	134078524	1	0
TCGA-EJ-5516	X	134078697	134091512	0	0
TCGA-EJ-5516	X	134092384	155233846	1	0
