sample	chr	startpos	endpos	nMajor	nMinor
TCGA-B1-A654	1	61735	249224388	1	1
TCGA-B1-A654	2	12784	243089456	1	1
TCGA-B1-A654	3	60345	197896118	1	1
TCGA-B1-A654	4	12281	191027923	1	1
TCGA-B1-A654	5	15532	180790320	1	1
TCGA-B1-A654	6	149661	171051005	1	1
TCGA-B1-A654	7	43259	159127004	2	1
TCGA-B1-A654	8	31254	146298155	1	1
TCGA-B1-A654	9	46587	141091394	2	0
TCGA-B1-A654	10	72759	135506704	1	1
TCGA-B1-A654	11	198572	134944770	1	1
TCGA-B1-A654	12	150442	133778189	1	1
TCGA-B1-A654	13	19026949	115108397	1	1
TCGA-B1-A654	14	19002124	22473714	1	1
TCGA-B1-A654	14	22475991	22995108	2	1
TCGA-B1-A654	14	22995817	107285437	1	1
TCGA-B1-A654	15	20016328	102469040	1	1
TCGA-B1-A654	16	60777	90287535	1	1
TCGA-B1-A654	17	526	81049726	2	1
TCGA-B1-A654	18	48133	78015057	1	1
TCGA-B1-A654	19	90910	59097854	1	1
TCGA-B1-A654	20	61305	62956153	2	1
TCGA-B1-A654	21	10736871	48096957	1	1
TCGA-B1-A654	22	16052528	51234455	1	1
TCGA-B1-A654	X	168477	155233846	1	1
