sample	chr	startpos	endpos	nMajor	nMinor
TCGA-F7-A61S	1	61735	32062351	2	2
TCGA-F7-A61S	1	32064552	34577022	2	0
TCGA-F7-A61S	1	34577170	48725296	2	2
TCGA-F7-A61S	1	48725431	62843230	2	0
TCGA-F7-A61S	1	62843671	121482979	2	2
TCGA-F7-A61S	1	144007049	249224388	2	1
TCGA-F7-A61S	2	12784	243089456	2	2
TCGA-F7-A61S	3	60345	90252447	1	1
TCGA-F7-A61S	3	90253559	131222723	3	1
TCGA-F7-A61S	3	131222963	197896118	3	3
TCGA-F7-A61S	4	12281	9818345	2	2
TCGA-F7-A61S	4	9819572	15000947	3	3
TCGA-F7-A61S	4	15013092	49057912	3	2
TCGA-F7-A61S	4	49061141	75534216	3	1
TCGA-F7-A61S	4	75534780	187491827	2	1
TCGA-F7-A61S	4	187493815	191027923	2	2
TCGA-F7-A61S	5	15532	180790320	3	2
TCGA-F7-A61S	6	149661	171051005	2	2
TCGA-F7-A61S	7	43259	159127004	2	2
TCGA-F7-A61S	8	31254	3811135	2	0
TCGA-F7-A61S	8	3811706	3986246	1	0
TCGA-F7-A61S	8	3986294	6027952	3	0
TCGA-F7-A61S	8	6030568	35231095	2	0
TCGA-F7-A61S	8	35231704	46919273	2	1
TCGA-F7-A61S	8	46922320	80553237	3	2
TCGA-F7-A61S	8	80553512	146298155	3	3
TCGA-F7-A61S	9	46587	141091394	3	2
TCGA-F7-A61S	10	72759	135506704	2	2
TCGA-F7-A61S	11	198572	134944770	2	2
TCGA-F7-A61S	12	150442	130077096	3	2
TCGA-F7-A61S	12	130077125	133778189	2	2
TCGA-F7-A61S	13	19026949	37690606	2	2
TCGA-F7-A61S	13	37692611	52609193	4	0
TCGA-F7-A61S	13	52609208	115108397	2	2
TCGA-F7-A61S	14	19002124	25522037	2	1
TCGA-F7-A61S	14	25522269	82101151	2	2
TCGA-F7-A61S	14	82101222	89586084	4	1
TCGA-F7-A61S	14	89586657	97545685	2	2
TCGA-F7-A61S	14	97546639	99474165	3	2
TCGA-F7-A61S	14	99474228	107285437	2	2
TCGA-F7-A61S	15	20016328	102469040	2	1
TCGA-F7-A61S	16	60777	90287535	2	2
TCGA-F7-A61S	17	526	18846069	3	0
TCGA-F7-A61S	17	18846525	81049726	2	2
TCGA-F7-A61S	18	48133	78015057	2	2
TCGA-F7-A61S	19	90910	59097854	2	1
TCGA-F7-A61S	20	61305	24735339	4	4
TCGA-F7-A61S	20	24735666	62956153	4	3
TCGA-F7-A61S	21	10736871	48096957	2	2
TCGA-F7-A61S	22	16052528	20764699	2	1
TCGA-F7-A61S	22	20764994	51234455	4	0
TCGA-F7-A61S	X	168477	2703391	3	1
TCGA-F7-A61S	X	2703633	29476626	2	0
TCGA-F7-A61S	X	29477381	29940743	1	0
TCGA-F7-A61S	X	29941730	154964055	2	0
TCGA-F7-A61S	X	154964089	155233846	5	0
