sample	chr	startpos	endpos	nMajor	nMinor
TCGA-G4-6309	1	61735	249224388	1	1
TCGA-G4-6309	2	12784	4100893	1	1
TCGA-G4-6309	2	4101367	4197025	1	0
TCGA-G4-6309	2	4197289	139414524	1	1
TCGA-G4-6309	2	139424680	139707763	1	0
TCGA-G4-6309	2	139708230	177657237	1	1
TCGA-G4-6309	2	177657307	177804575	1	0
TCGA-G4-6309	2	177808217	243089456	1	1
TCGA-G4-6309	3	60345	37125680	2	0
TCGA-G4-6309	3	37132029	60213805	1	1
TCGA-G4-6309	3	60213882	60448591	1	0
TCGA-G4-6309	3	60448671	197896118	1	1
TCGA-G4-6309	4	12281	191027923	1	1
TCGA-G4-6309	5	15532	180790320	1	1
TCGA-G4-6309	6	149661	171051005	1	1
TCGA-G4-6309	7	43259	159127004	1	1
TCGA-G4-6309	8	31254	146298155	1	1
TCGA-G4-6309	9	46587	4077074	1	1
TCGA-G4-6309	9	4077326	4317266	1	0
TCGA-G4-6309	9	4317466	141091394	1	1
TCGA-G4-6309	10	72759	135506704	1	1
TCGA-G4-6309	11	198572	134944770	1	1
TCGA-G4-6309	12	150442	133778189	1	1
TCGA-G4-6309	13	19026949	115108397	1	1
TCGA-G4-6309	14	19002124	22320876	1	1
TCGA-G4-6309	14	22323582	22978775	2	1
TCGA-G4-6309	14	22983223	107285437	1	1
TCGA-G4-6309	15	20016328	102469040	1	1
TCGA-G4-6309	16	60777	90287535	1	1
TCGA-G4-6309	17	526	81049726	1	1
TCGA-G4-6309	18	48133	78015057	1	1
TCGA-G4-6309	19	90910	16358333	2	0
TCGA-G4-6309	19	16363963	59097854	1	1
TCGA-G4-6309	20	61305	62956153	1	1
TCGA-G4-6309	21	10736871	48096957	1	1
TCGA-G4-6309	22	16052528	51234455	1	1
TCGA-G4-6309	X	168477	7215336	1	1
TCGA-G4-6309	X	7217969	7745631	1	0
TCGA-G4-6309	X	7747229	132137957	1	1
TCGA-G4-6309	X	132138131	133459908	2	1
TCGA-G4-6309	X	133460598	155233846	1	1
