sample	chr	startpos	endpos	nMajor	nMinor
TCGA-W4-A7U3	1	61735	17017630	1	1
TCGA-W4-A7U3	1	17022269	249224388	2	1
TCGA-W4-A7U3	2	12784	243089456	2	1
TCGA-W4-A7U3	3	60345	187687890	2	1
TCGA-W4-A7U3	3	187688669	193042964	2	2
TCGA-W4-A7U3	3	193047243	197896118	2	1
TCGA-W4-A7U3	4	12281	191027923	1	1
TCGA-W4-A7U3	5	15532	180790320	1	1
TCGA-W4-A7U3	6	149661	171051005	2	1
TCGA-W4-A7U3	7	43259	159127004	2	1
TCGA-W4-A7U3	8	31254	146298155	2	1
TCGA-W4-A7U3	9	46587	141091394	2	1
TCGA-W4-A7U3	10	72759	135506704	1	1
TCGA-W4-A7U3	11	198572	134944770	2	1
TCGA-W4-A7U3	12	150442	34854498	5	2
TCGA-W4-A7U3	12	37857751	133778189	2	1
TCGA-W4-A7U3	13	19026949	115108397	1	1
TCGA-W4-A7U3	14	19002124	107285437	1	1
TCGA-W4-A7U3	15	20016328	102469040	2	1
TCGA-W4-A7U3	16	60777	90287535	2	1
TCGA-W4-A7U3	17	526	74095851	2	1
TCGA-W4-A7U3	17	74095893	81049726	3	1
TCGA-W4-A7U3	18	48133	78015057	2	0
TCGA-W4-A7U3	19	90910	42754175	2	1
TCGA-W4-A7U3	19	42754637	59097854	1	1
TCGA-W4-A7U3	20	61305	62956153	2	1
TCGA-W4-A7U3	21	10736871	48096957	2	2
TCGA-W4-A7U3	22	16052528	51234455	2	1
TCGA-W4-A7U3	X	168477	2632482	2	1
TCGA-W4-A7U3	X	2632822	155233846	2	0
