sample	chr	startpos	endpos	nMajor	nMinor
TCGA-N7-A4Y8	1	61735	9158765	2	1
TCGA-N7-A4Y8	1	9158997	9699377	4	1
TCGA-N7-A4Y8	1	9699768	11488323	2	1
TCGA-N7-A4Y8	1	11488898	13688680	2	2
TCGA-N7-A4Y8	1	13709915	14567691	4	2
TCGA-N7-A4Y8	1	14570849	16495846	3	2
TCGA-N7-A4Y8	1	16495914	16556709	6	3
TCGA-N7-A4Y8	1	16559490	164777367	2	2
TCGA-N7-A4Y8	1	164777429	165642867	3	2
TCGA-N7-A4Y8	1	165643659	203644395	2	2
TCGA-N7-A4Y8	1	203644549	204989911	3	2
TCGA-N7-A4Y8	1	204990835	234773047	2	2
TCGA-N7-A4Y8	1	234777093	235118973	3	2
TCGA-N7-A4Y8	1	235119040	249224388	2	2
TCGA-N7-A4Y8	2	12784	1297772	2	1
TCGA-N7-A4Y8	2	1298915	65434880	2	2
TCGA-N7-A4Y8	2	65435028	66149484	4	2
TCGA-N7-A4Y8	2	66150769	68071990	2	2
TCGA-N7-A4Y8	2	68072763	68437262	4	2
TCGA-N7-A4Y8	2	68437945	85824468	2	2
TCGA-N7-A4Y8	2	85833832	86526127	4	2
TCGA-N7-A4Y8	2	86532962	113824200	2	2
TCGA-N7-A4Y8	2	113824585	114484345	4	2
TCGA-N7-A4Y8	2	114484912	141747293	3	2
TCGA-N7-A4Y8	2	141747961	142364839	2	1
TCGA-N7-A4Y8	2	142365097	158957077	2	2
TCGA-N7-A4Y8	2	158958897	159444904	6	2
TCGA-N7-A4Y8	2	159445757	243089456	2	2
TCGA-N7-A4Y8	3	60345	116236364	2	1
TCGA-N7-A4Y8	3	116239266	116429325	1	0
TCGA-N7-A4Y8	3	116429698	116670893	0	0
TCGA-N7-A4Y8	3	116671879	116812321	1	0
TCGA-N7-A4Y8	3	116819115	116899633	1	1
TCGA-N7-A4Y8	3	116899786	197896118	2	2
TCGA-N7-A4Y8	4	12281	23971604	2	0
TCGA-N7-A4Y8	4	23973910	46677244	1	0
TCGA-N7-A4Y8	4	46677850	48312672	1	1
TCGA-N7-A4Y8	4	48313005	49089374	3	1
TCGA-N7-A4Y8	4	49093786	182084889	1	1
TCGA-N7-A4Y8	4	182089679	182159756	1	0
TCGA-N7-A4Y8	4	182163907	182232033	0	0
TCGA-N7-A4Y8	4	182232174	182376310	1	0
TCGA-N7-A4Y8	4	182376357	191027923	1	1
TCGA-N7-A4Y8	5	15532	127693525	1	1
TCGA-N7-A4Y8	5	127706046	127934991	1	0
TCGA-N7-A4Y8	5	127935382	146372274	1	1
TCGA-N7-A4Y8	5	146373287	150559358	2	1
TCGA-N7-A4Y8	5	150559721	180790320	1	1
TCGA-N7-A4Y8	6	149661	12952040	2	1
TCGA-N7-A4Y8	6	12952436	13585406	3	1
TCGA-N7-A4Y8	6	13589873	98552535	2	1
TCGA-N7-A4Y8	6	98557364	98938975	1	1
TCGA-N7-A4Y8	6	98939225	119629428	2	1
TCGA-N7-A4Y8	6	119630177	119935496	1	0
TCGA-N7-A4Y8	6	119943401	150376318	2	1
TCGA-N7-A4Y8	6	150377321	150521501	3	2
TCGA-N7-A4Y8	6	150521594	171051005	2	1
TCGA-N7-A4Y8	7	43259	107474412	2	1
TCGA-N7-A4Y8	7	107476334	113555895	1	1
TCGA-N7-A4Y8	7	113562026	148820242	2	1
TCGA-N7-A4Y8	7	148834287	148965027	4	1
TCGA-N7-A4Y8	7	148965607	159127004	2	1
TCGA-N7-A4Y8	8	31254	90128525	2	2
TCGA-N7-A4Y8	8	90129505	90323728	2	1
TCGA-N7-A4Y8	8	90323764	118909353	2	2
TCGA-N7-A4Y8	8	118909394	119304500	3	2
TCGA-N7-A4Y8	8	119304622	146298155	2	2
TCGA-N7-A4Y8	9	46587	28288067	1	1
TCGA-N7-A4Y8	9	28290685	28659334	1	0
TCGA-N7-A4Y8	9	28660029	97545814	1	1
TCGA-N7-A4Y8	9	97547546	98264202	1	0
TCGA-N7-A4Y8	9	98264435	136774900	1	1
TCGA-N7-A4Y8	9	136779153	137380764	2	1
TCGA-N7-A4Y8	9	137387029	141091394	1	1
TCGA-N7-A4Y8	10	72759	45855990	2	1
TCGA-N7-A4Y8	10	45863206	122476771	1	1
TCGA-N7-A4Y8	10	122479662	123490758	2	1
TCGA-N7-A4Y8	10	123490869	135506704	1	1
TCGA-N7-A4Y8	11	198572	2474956	1	1
TCGA-N7-A4Y8	11	2475150	3129953	2	1
TCGA-N7-A4Y8	11	3129965	47269936	1	1
TCGA-N7-A4Y8	11	47272746	47490210	1	0
TCGA-N7-A4Y8	11	47496827	64860073	1	1
TCGA-N7-A4Y8	11	64860085	65211273	2	1
TCGA-N7-A4Y8	11	65211392	65598143	3	2
TCGA-N7-A4Y8	11	65598374	119107073	3	1
TCGA-N7-A4Y8	11	119107727	134944770	3	0
TCGA-N7-A4Y8	12	150442	50507073	3	1
TCGA-N7-A4Y8	12	50507815	51301627	4	1
TCGA-N7-A4Y8	12	51304259	53828160	3	1
TCGA-N7-A4Y8	12	53829515	121112744	1	1
TCGA-N7-A4Y8	12	121113372	123345347	1	0
TCGA-N7-A4Y8	12	123347609	133778189	1	1
TCGA-N7-A4Y8	13	19026949	115108397	2	2
TCGA-N7-A4Y8	14	19002124	35084901	2	0
TCGA-N7-A4Y8	14	35085110	107285437	2	1
TCGA-N7-A4Y8	15	20016328	102469040	1	1
TCGA-N7-A4Y8	16	60777	56969380	1	1
TCGA-N7-A4Y8	16	56970203	57387790	2	1
TCGA-N7-A4Y8	16	57401307	70855202	1	0
TCGA-N7-A4Y8	16	70855479	71202489	2	0
TCGA-N7-A4Y8	16	71202797	79260518	1	0
TCGA-N7-A4Y8	16	79265247	79450597	0	0
TCGA-N7-A4Y8	16	79451166	90287535	1	0
TCGA-N7-A4Y8	17	526	4424159	2	1
TCGA-N7-A4Y8	17	4424417	48032005	2	0
TCGA-N7-A4Y8	17	48033906	48085844	5	0
TCGA-N7-A4Y8	17	48086550	48171021	4	0
TCGA-N7-A4Y8	17	48173887	77450707	2	0
TCGA-N7-A4Y8	17	77454808	81049726	3	0
TCGA-N7-A4Y8	18	48133	55560359	2	0
TCGA-N7-A4Y8	18	55566541	56220081	2	1
TCGA-N7-A4Y8	18	56224710	57182078	4	1
TCGA-N7-A4Y8	18	57182223	78015057	2	1
TCGA-N7-A4Y8	19	90910	4605239	1	1
TCGA-N7-A4Y8	19	4605989	15517712	2	1
TCGA-N7-A4Y8	19	15519015	15857618	2	2
TCGA-N7-A4Y8	19	15857958	18005825	2	1
TCGA-N7-A4Y8	19	18007950	19812865	3	1
TCGA-N7-A4Y8	19	19813019	27998566	2	2
TCGA-N7-A4Y8	19	28000838	31653673	3	2
TCGA-N7-A4Y8	19	31657540	59097854	2	2
TCGA-N7-A4Y8	20	61305	14373706	2	1
TCGA-N7-A4Y8	20	14377941	15020018	1	1
TCGA-N7-A4Y8	20	15020631	33701124	2	1
TCGA-N7-A4Y8	20	33701452	36987660	3	2
TCGA-N7-A4Y8	20	36987818	62956153	2	2
TCGA-N7-A4Y8	21	10736871	48096957	2	0
TCGA-N7-A4Y8	22	16052528	46235597	2	0
TCGA-N7-A4Y8	22	46235677	46604102	4	0
TCGA-N7-A4Y8	22	46609464	51234455	2	0
TCGA-N7-A4Y8	X	168477	31281003	2	0
TCGA-N7-A4Y8	X	31281792	31563462	1	0
TCGA-N7-A4Y8	X	31567249	32729206	2	0
TCGA-N7-A4Y8	X	32732704	32970940	0	0
