sample	chr	startpos	endpos	nMajor	nMinor
TCGA-LI-A67I	1	61735	37791498	2	2
TCGA-LI-A67I	1	37794345	37976741	1	0
TCGA-LI-A67I	1	38001827	90656272	3	2
TCGA-LI-A67I	1	90656648	91559100	2	1
TCGA-LI-A67I	1	91566348	150212604	2	0
TCGA-LI-A67I	1	150217867	153703341	2	2
TCGA-LI-A67I	1	153706699	249224388	2	0
TCGA-LI-A67I	2	12784	48733056	2	0
TCGA-LI-A67I	2	48736122	70421985	2	1
TCGA-LI-A67I	2	70423558	70687052	2	0
TCGA-LI-A67I	2	70687281	70796476	9	2
TCGA-LI-A67I	2	70796916	70885998	15	2
TCGA-LI-A67I	2	70886602	102877799	2	0
TCGA-LI-A67I	2	102878388	142822586	2	1
TCGA-LI-A67I	2	142823419	243089456	2	0
TCGA-LI-A67I	3	60345	29662535	1	1
TCGA-LI-A67I	3	29662772	29846607	1	0
TCGA-LI-A67I	3	29850803	184025494	1	1
TCGA-LI-A67I	3	184028935	197896118	2	1
TCGA-LI-A67I	4	12281	42473630	2	0
TCGA-LI-A67I	4	42475352	45548029	4	0
TCGA-LI-A67I	4	45550404	61680607	3	0
TCGA-LI-A67I	4	61684057	188476569	2	0
TCGA-LI-A67I	4	188478933	188834234	2	1
TCGA-LI-A67I	4	188840759	191027923	2	0
TCGA-LI-A67I	5	15532	424703	6	2
TCGA-LI-A67I	5	428865	1376680	4	2
TCGA-LI-A67I	5	1377021	152492074	2	1
TCGA-LI-A67I	5	152495378	152531032	1	0
TCGA-LI-A67I	5	152532223	180790320	2	1
TCGA-LI-A67I	6	149661	46096883	2	1
TCGA-LI-A67I	6	46103860	49345017	2	2
TCGA-LI-A67I	6	49345473	50984285	2	1
TCGA-LI-A67I	6	50984963	53190250	2	2
TCGA-LI-A67I	6	53190250	54800489	3	2
TCGA-LI-A67I	6	54800874	171051005	2	2
TCGA-LI-A67I	7	43259	159127004	2	0
TCGA-LI-A67I	8	31254	146298155	1	1
TCGA-LI-A67I	9	46587	47217176	2	2
TCGA-LI-A67I	9	65616971	81225170	2	1
TCGA-LI-A67I	9	81225173	85573467	2	2
TCGA-LI-A67I	9	85573905	141091394	2	1
TCGA-LI-A67I	10	72759	39076206	3	2
TCGA-LI-A67I	10	39076221	135506704	2	0
TCGA-LI-A67I	11	198572	14173373	2	0
TCGA-LI-A67I	11	14174804	16496945	2	1
TCGA-LI-A67I	11	16501827	64573454	2	0
TCGA-LI-A67I	11	64573706	134944770	1	0
TCGA-LI-A67I	12	150442	133778189	2	0
TCGA-LI-A67I	13	19026949	34004697	2	2
TCGA-LI-A67I	13	34005037	39908274	2	0
TCGA-LI-A67I	13	39911094	40631669	2	1
TCGA-LI-A67I	13	40631973	41173668	2	0
TCGA-LI-A67I	13	41176950	44083152	2	1
TCGA-LI-A67I	13	44085945	115108397	2	0
TCGA-LI-A67I	14	19002124	22580570	2	0
TCGA-LI-A67I	14	22580623	22999542	3	0
TCGA-LI-A67I	14	22999558	107285437	2	0
TCGA-LI-A67I	15	20016328	102469040	2	1
TCGA-LI-A67I	16	60777	35283226	2	1
TCGA-LI-A67I	16	46463782	65292139	2	0
TCGA-LI-A67I	16	65292220	66567959	0	0
TCGA-LI-A67I	16	66571421	90287535	2	0
TCGA-LI-A67I	17	526	7140606	2	1
TCGA-LI-A67I	17	7145281	8351031	2	0
TCGA-LI-A67I	17	8360918	81049726	2	1
TCGA-LI-A67I	18	48133	4947183	2	0
TCGA-LI-A67I	18	4949089	5388891	2	1
TCGA-LI-A67I	18	5391531	12450177	2	0
TCGA-LI-A67I	18	12454262	13573568	2	2
TCGA-LI-A67I	18	13577112	21435980	2	1
TCGA-LI-A67I	18	21436412	22656876	1	1
TCGA-LI-A67I	18	22657116	64667003	1	0
TCGA-LI-A67I	18	64667354	65175857	1	1
TCGA-LI-A67I	18	65179829	70419553	1	0
TCGA-LI-A67I	18	70420577	70428894	14	1
TCGA-LI-A67I	18	70428990	70449709	1	0
TCGA-LI-A67I	18	70459329	70889845	15	1
TCGA-LI-A67I	18	70890321	71159454	7	1
TCGA-LI-A67I	18	71159847	71439526	4	1
TCGA-LI-A67I	18	71444714	73021081	1	1
TCGA-LI-A67I	18	73022167	74888269	1	0
TCGA-LI-A67I	18	74888609	76672862	1	1
TCGA-LI-A67I	18	76680709	78015057	1	0
TCGA-LI-A67I	19	90910	5974343	1	0
TCGA-LI-A67I	19	5980789	13114421	1	1
TCGA-LI-A67I	19	13115041	16391733	2	1
TCGA-LI-A67I	19	16392163	18876127	1	1
TCGA-LI-A67I	19	18878378	24521623	1	0
TCGA-LI-A67I	19	24582577	29037340	4	0
TCGA-LI-A67I	19	29039349	30406464	3	0
TCGA-LI-A67I	19	30410198	57759625	2	0
TCGA-LI-A67I	19	57760953	59097854	3	0
TCGA-LI-A67I	20	61305	33359328	2	0
TCGA-LI-A67I	20	33360654	62956153	2	1
TCGA-LI-A67I	21	10736871	48096957	2	2
TCGA-LI-A67I	22	16052528	20116243	3	0
TCGA-LI-A67I	22	20116972	20967270	8	0
TCGA-LI-A67I	22	20969127	22095771	3	0
TCGA-LI-A67I	22	22096802	29762170	1	0
TCGA-LI-A67I	22	29765382	51234455	2	1
TCGA-LI-A67I	X	168477	48624290	1	0
TCGA-LI-A67I	X	48627115	53821233	1	1
TCGA-LI-A67I	X	53821780	77331038	1	0
TCGA-LI-A67I	X	77331162	93067623	1	1
TCGA-LI-A67I	X	93069224	95253328	2	1
TCGA-LI-A67I	X	95253451	96078013	3	1
TCGA-LI-A67I	X	96080333	155233846	1	1
