sample	chr	startpos	endpos	nMajor	nMinor
TCGA-AJ-A3EK	1	61735	249224388	1	1
TCGA-AJ-A3EK	2	12784	243089456	1	1
TCGA-AJ-A3EK	3	60345	119434202	1	1
TCGA-AJ-A3EK	3	119435313	120105927	2	0
TCGA-AJ-A3EK	3	120106521	197896118	1	1
TCGA-AJ-A3EK	4	12281	191027923	1	1
TCGA-AJ-A3EK	5	15532	180790320	1	1
TCGA-AJ-A3EK	6	149661	171051005	1	1
TCGA-AJ-A3EK	7	43259	159127004	1	1
TCGA-AJ-A3EK	8	31254	146298155	1	1
TCGA-AJ-A3EK	9	46587	141091394	1	1
TCGA-AJ-A3EK	10	72759	135506704	1	1
TCGA-AJ-A3EK	11	198572	134944770	1	1
TCGA-AJ-A3EK	12	150442	133778189	1	1
TCGA-AJ-A3EK	13	19026949	115108397	1	1
TCGA-AJ-A3EK	14	19002124	107285437	1	1
TCGA-AJ-A3EK	15	20016328	102469040	1	1
TCGA-AJ-A3EK	16	60777	90287535	1	1
TCGA-AJ-A3EK	17	526	81049726	1	1
TCGA-AJ-A3EK	18	48133	78015057	1	1
TCGA-AJ-A3EK	19	90910	59097854	1	1
TCGA-AJ-A3EK	20	61305	62956153	1	1
TCGA-AJ-A3EK	21	10736871	48096957	1	1
TCGA-AJ-A3EK	22	16052528	51234455	1	1
TCGA-AJ-A3EK	X	168477	155233846	1	1
