sample	chr	startpos	endpos	nMajor	nMinor
TCGA-AP-A05P	1	61735	121482979	1	1
TCGA-AP-A05P	1	144007049	249224388	2	1
TCGA-AP-A05P	2	12784	243089456	1	1
TCGA-AP-A05P	3	60345	197896118	1	1
TCGA-AP-A05P	4	12281	191027923	1	1
TCGA-AP-A05P	5	15532	180790320	1	1
TCGA-AP-A05P	6	149661	171051005	1	1
TCGA-AP-A05P	7	43259	159127004	1	1
TCGA-AP-A05P	8	31254	146298155	1	1
TCGA-AP-A05P	9	46587	141091394	1	1
TCGA-AP-A05P	10	72759	135506704	2	1
TCGA-AP-A05P	11	198572	134944770	1	1
TCGA-AP-A05P	12	150442	133778189	2	1
TCGA-AP-A05P	13	19026949	115108397	1	1
TCGA-AP-A05P	14	19002124	107285437	1	1
TCGA-AP-A05P	15	20016328	102469040	1	1
TCGA-AP-A05P	16	60777	90287535	1	1
TCGA-AP-A05P	17	526	81049726	1	1
TCGA-AP-A05P	18	48133	78015057	1	1
TCGA-AP-A05P	19	90910	59097854	1	1
TCGA-AP-A05P	20	61305	62956153	1	1
TCGA-AP-A05P	21	10736871	48096957	1	1
TCGA-AP-A05P	22	16052528	51234455	1	1
TCGA-AP-A05P	X	168477	155233846	1	1
