sample	chr	startpos	endpos	nMajor	nMinor
TCGA-XM-A8RD	1	61735	249224388	1	1
TCGA-XM-A8RD	2	12784	243089456	1	1
TCGA-XM-A8RD	3	60345	197896118	1	1
TCGA-XM-A8RD	4	12281	191027923	1	1
TCGA-XM-A8RD	5	15532	180790320	1	1
TCGA-XM-A8RD	6	149661	171051005	1	1
TCGA-XM-A8RD	7	43259	38311366	1	1
TCGA-XM-A8RD	7	38317570	38356633	1	0
TCGA-XM-A8RD	7	38356725	159127004	1	1
TCGA-XM-A8RD	8	31254	146298155	1	1
TCGA-XM-A8RD	9	46587	141091394	1	1
TCGA-XM-A8RD	10	72759	135506704	1	1
TCGA-XM-A8RD	11	198572	134944770	1	1
TCGA-XM-A8RD	12	150442	133778189	1	1
TCGA-XM-A8RD	13	19026949	115108397	1	1
TCGA-XM-A8RD	14	19002124	107285437	1	1
TCGA-XM-A8RD	15	20016328	102469040	1	1
TCGA-XM-A8RD	16	60777	90287535	1	1
TCGA-XM-A8RD	17	526	81049726	1	1
TCGA-XM-A8RD	18	48133	78015057	1	1
TCGA-XM-A8RD	19	90910	59097854	1	1
TCGA-XM-A8RD	20	61305	62956153	1	1
TCGA-XM-A8RD	21	10736871	48096957	1	1
TCGA-XM-A8RD	22	16052528	51234455	1	1
TCGA-XM-A8RD	X	168477	155233846	1	1
