sample	chr	startpos	endpos	nMajor	nMinor
TCGA-B0-5088	1	61735	5002197	2	1
TCGA-B0-5088	1	5002367	9366725	1	1
TCGA-B0-5088	1	9368136	11821775	2	0
TCGA-B0-5088	1	11823646	18298172	1	1
TCGA-B0-5088	1	18298542	18705471	2	0
TCGA-B0-5088	1	18705500	21340727	1	1
TCGA-B0-5088	1	21342202	22001596	2	0
TCGA-B0-5088	1	22002867	23096205	1	1
TCGA-B0-5088	1	23096818	23616288	2	0
TCGA-B0-5088	1	23619009	35153753	1	1
TCGA-B0-5088	1	35154013	36962447	2	0
TCGA-B0-5088	1	36963878	45077489	1	1
TCGA-B0-5088	1	45078721	45843392	2	0
TCGA-B0-5088	1	45845263	46907340	1	1
TCGA-B0-5088	1	46911921	47642230	2	0
TCGA-B0-5088	1	47644088	53206563	1	1
TCGA-B0-5088	1	53209442	54019131	2	0
TCGA-B0-5088	1	54019473	58383226	1	1
TCGA-B0-5088	1	58385263	58641804	2	0
TCGA-B0-5088	1	58644422	62628180	1	1
TCGA-B0-5088	1	62630362	62782773	2	0
TCGA-B0-5088	1	62786474	67596372	1	1
TCGA-B0-5088	1	67597119	68208946	2	0
TCGA-B0-5088	1	68210056	78830851	1	1
TCGA-B0-5088	1	78831133	79329349	2	0
TCGA-B0-5088	1	79329488	81208191	2	1
TCGA-B0-5088	1	81209906	91043261	1	1
TCGA-B0-5088	1	91043334	91532067	2	0
TCGA-B0-5088	1	91532704	92316573	1	1
TCGA-B0-5088	1	92317312	93262477	2	0
TCGA-B0-5088	1	93265369	100799044	1	1
TCGA-B0-5088	1	100799060	101613030	2	0
TCGA-B0-5088	1	101613255	105095830	1	1
TCGA-B0-5088	1	105099912	105996579	2	0
TCGA-B0-5088	1	105996621	115189413	1	1
TCGA-B0-5088	1	115191447	115843087	2	0
TCGA-B0-5088	1	115843927	116229363	1	1
TCGA-B0-5088	1	116232363	117524182	2	0
TCGA-B0-5088	1	117525349	151348055	1	1
TCGA-B0-5088	1	151348460	151805015	2	0
TCGA-B0-5088	1	151806205	152762890	1	1
TCGA-B0-5088	1	152762903	153176366	2	0
TCGA-B0-5088	1	153177852	156304811	1	1
TCGA-B0-5088	1	156305162	157263517	2	0
TCGA-B0-5088	1	157265329	157474712	1	1
TCGA-B0-5088	1	157477128	158107909	2	0
TCGA-B0-5088	1	158108217	162171088	1	1
TCGA-B0-5088	1	162173377	162817494	2	0
TCGA-B0-5088	1	162819757	164708498	1	1
TCGA-B0-5088	1	164710315	165052835	2	0
TCGA-B0-5088	1	165060936	165464051	1	1
TCGA-B0-5088	1	165464785	166304410	2	0
TCGA-B0-5088	1	166304737	168625701	1	1
TCGA-B0-5088	1	168626201	169405850	2	0
TCGA-B0-5088	1	169410238	172892952	1	1
TCGA-B0-5088	1	172893814	173674907	2	0
TCGA-B0-5088	1	173679848	176939999	1	1
TCGA-B0-5088	1	176940086	177496306	2	1
TCGA-B0-5088	1	177497138	178637017	2	0
TCGA-B0-5088	1	178637663	181292158	1	1
TCGA-B0-5088	1	181295503	182144649	2	0
TCGA-B0-5088	1	182144859	201613326	1	1
TCGA-B0-5088	1	201614854	202677178	2	0
TCGA-B0-5088	1	202684390	203438328	1	1
TCGA-B0-5088	1	203438972	203793652	2	0
TCGA-B0-5088	1	203797115	208159438	1	1
TCGA-B0-5088	1	208161588	208430208	2	0
TCGA-B0-5088	1	208430523	210658162	2	1
TCGA-B0-5088	1	210658293	210951026	2	0
TCGA-B0-5088	1	210952035	217599330	1	1
TCGA-B0-5088	1	217601266	218524304	2	0
TCGA-B0-5088	1	218528087	220889431	1	1
TCGA-B0-5088	1	220893572	221460408	2	0
TCGA-B0-5088	1	221461972	226632622	1	1
TCGA-B0-5088	1	226636983	226858872	2	0
TCGA-B0-5088	1	226859676	232638409	1	1
TCGA-B0-5088	1	232641169	233128035	2	0
TCGA-B0-5088	1	233132493	236385379	2	1
TCGA-B0-5088	1	236386550	240985581	1	1
TCGA-B0-5088	1	240986292	241438752	2	0
TCGA-B0-5088	1	241439672	242403002	1	1
TCGA-B0-5088	1	242407195	242668134	2	0
TCGA-B0-5088	1	242668619	243078263	1	1
TCGA-B0-5088	1	243080405	244024967	2	0
TCGA-B0-5088	1	244025999	247786806	1	1
TCGA-B0-5088	1	247788111	249224388	2	0
TCGA-B0-5088	2	12784	600828	1	1
TCGA-B0-5088	2	600969	1091659	2	0
TCGA-B0-5088	2	1091787	3921326	2	1
TCGA-B0-5088	2	3921722	13418345	1	1
TCGA-B0-5088	2	13422034	14040663	3	0
TCGA-B0-5088	2	14041017	33180485	1	1
TCGA-B0-5088	2	33180644	33722565	2	0
TCGA-B0-5088	2	33724929	55090022	1	1
TCGA-B0-5088	2	55091029	55614526	2	0
