sample	chr	startpos	endpos	nMajor	nMinor
TCGA-DM-A28F	1	61735	49395009	2	0
TCGA-DM-A28F	1	49395820	50185479	1	0
TCGA-DM-A28F	1	50190931	51438365	3	0
TCGA-DM-A28F	1	51439153	112991815	2	0
TCGA-DM-A28F	1	112991862	113550913	2	1
TCGA-DM-A28F	1	113551222	116478752	2	0
TCGA-DM-A28F	1	116481398	249224388	2	1
TCGA-DM-A28F	2	12784	91782021	1	1
TCGA-DM-A28F	2	91786999	142156180	2	1
TCGA-DM-A28F	2	142157396	142318642	1	1
TCGA-DM-A28F	2	142319071	164836764	2	1
TCGA-DM-A28F	2	164837633	179275401	1	1
TCGA-DM-A28F	2	179277093	183165996	2	1
TCGA-DM-A28F	2	183166891	183534569	2	0
TCGA-DM-A28F	2	183537399	205733966	2	1
TCGA-DM-A28F	2	205734087	206317208	2	0
TCGA-DM-A28F	2	206318593	243089456	2	1
TCGA-DM-A28F	3	60345	3996098	2	0
TCGA-DM-A28F	3	3996772	4252279	1	0
TCGA-DM-A28F	3	4253033	60290014	2	0
TCGA-DM-A28F	3	60292056	60536770	0	0
TCGA-DM-A28F	3	60537396	61097394	2	0
TCGA-DM-A28F	3	61098164	61210399	1	0
TCGA-DM-A28F	3	61210413	78825132	2	0
TCGA-DM-A28F	3	78829753	88361041	1	0
TCGA-DM-A28F	3	88362139	174680309	2	0
TCGA-DM-A28F	3	174681247	174871901	1	0
TCGA-DM-A28F	3	174880865	197896118	2	0
TCGA-DM-A28F	4	12281	1105464	2	1
TCGA-DM-A28F	4	1110174	41367089	1	1
TCGA-DM-A28F	4	41367901	41544001	1	0
TCGA-DM-A28F	4	41545520	91578012	1	1
TCGA-DM-A28F	4	91580312	91845111	1	0
TCGA-DM-A28F	4	91848454	91949086	0	0
TCGA-DM-A28F	4	91949165	92419585	1	0
TCGA-DM-A28F	4	92422760	191027923	1	1
TCGA-DM-A28F	5	15532	180790320	1	1
TCGA-DM-A28F	6	149661	30062058	4	1
TCGA-DM-A28F	6	30063368	36035510	2	1
TCGA-DM-A28F	6	36039153	171051005	1	1
TCGA-DM-A28F	7	43259	3035209	5	0
TCGA-DM-A28F	7	3035272	57445246	6	1
TCGA-DM-A28F	7	57446052	68290259	4	1
TCGA-DM-A28F	7	68290738	69532247	6	1
TCGA-DM-A28F	7	69539140	84916723	1	1
TCGA-DM-A28F	7	84928058	85561007	4	1
TCGA-DM-A28F	7	85563375	86328783	6	1
TCGA-DM-A28F	7	86329182	109326455	1	1
TCGA-DM-A28F	7	109326573	110061408	2	1
TCGA-DM-A28F	7	110061532	132703196	1	1
TCGA-DM-A28F	7	132705530	159127004	2	1
TCGA-DM-A28F	8	31254	43786802	1	0
TCGA-DM-A28F	8	43824048	75200680	2	1
TCGA-DM-A28F	8	75200914	100047069	4	1
TCGA-DM-A28F	8	100047255	100504047	3	0
TCGA-DM-A28F	8	100505221	142221791	4	1
TCGA-DM-A28F	8	142221874	146298155	3	1
TCGA-DM-A28F	9	46587	15919011	1	1
TCGA-DM-A28F	9	15919177	15980320	1	0
TCGA-DM-A28F	9	15994240	20940644	1	1
TCGA-DM-A28F	9	20941182	22861227	2	1
TCGA-DM-A28F	9	22863949	71392876	1	1
TCGA-DM-A28F	9	71392891	71696707	1	0
