sample	chr	startpos	endpos	nMajor	nMinor
TCGA-B8-5549-b	1	61735	249224388	2	2
TCGA-B8-5549-b	2	12784	82496247	3	3
TCGA-B8-5549-b	2	82497767	83489250	5	1
TCGA-B8-5549-b	2	83489404	178260474	3	3
TCGA-B8-5549-b	2	178264399	243089456	2	0
TCGA-B8-5549-b	3	60345	136162052	3	0
TCGA-B8-5549-b	3	136169109	197896118	3	3
TCGA-B8-5549-b	4	12281	191027923	2	2
TCGA-B8-5549-b	5	15532	1350011	3	3
TCGA-B8-5549-b	5	1350594	1542279	2	0
TCGA-B8-5549-b	5	1545568	180790320	3	3
TCGA-B8-5549-b	6	149661	171051005	3	3
TCGA-B8-5549-b	7	43259	159127004	3	3
TCGA-B8-5549-b	8	31254	146298155	2	2
TCGA-B8-5549-b	9	46587	141091394	2	1
TCGA-B8-5549-b	10	72759	135506704	2	2
TCGA-B8-5549-b	11	198572	134944770	3	3
TCGA-B8-5549-b	12	150442	32994829	3	3
TCGA-B8-5549-b	12	32999921	38655215	5	1
TCGA-B8-5549-b	12	38655232	133778189	3	3
TCGA-B8-5549-b	13	19026949	115108397	2	2
TCGA-B8-5549-b	14	19002124	107285437	3	2
TCGA-B8-5549-b	15	20016328	102469040	2	2
TCGA-B8-5549-b	16	60777	31633058	3	3
TCGA-B8-5549-b	16	31633168	35283226	6	1
TCGA-B8-5549-b	16	46463782	90287535	3	3
TCGA-B8-5549-b	17	526	81049726	3	3
TCGA-B8-5549-b	18	48133	78015057	2	2
TCGA-B8-5549-b	19	90910	20083633	3	2
TCGA-B8-5549-b	19	20083791	59097854	3	3
TCGA-B8-5549-b	20	61305	62956153	3	3
TCGA-B8-5549-b	21	10736871	48096957	3	3
TCGA-B8-5549-b	22	16052528	51234455	3	3
TCGA-B8-5549-b	X	168477	2693624	2	0
TCGA-B8-5549-b	X	2694240	155233846	3	0
