sample	chr	startpos	endpos	nMajor	nMinor
TCGA-FD-A43X	1	61735	121482979	2	2
TCGA-FD-A43X	1	144007049	165670519	4	1
TCGA-FD-A43X	1	165677673	166680241	2	1
TCGA-FD-A43X	1	166683461	200618943	5	1
TCGA-FD-A43X	1	200621944	249224388	4	1
TCGA-FD-A43X	2	12784	37363806	2	2
TCGA-FD-A43X	2	37363968	38231632	2	0
TCGA-FD-A43X	2	38238332	231709953	2	2
TCGA-FD-A43X	2	231721262	233673149	2	0
TCGA-FD-A43X	2	233682661	243089456	2	2
TCGA-FD-A43X	3	60345	2948882	3	2
TCGA-FD-A43X	3	2949863	4355880	2	0
TCGA-FD-A43X	3	4356985	197896118	2	2
TCGA-FD-A43X	4	12281	191027923	2	2
TCGA-FD-A43X	5	15532	180790320	2	2
TCGA-FD-A43X	6	149661	171051005	2	2
TCGA-FD-A43X	7	43259	159127004	3	2
TCGA-FD-A43X	8	31254	146298155	2	2
TCGA-FD-A43X	9	46587	9465841	2	2
TCGA-FD-A43X	9	9465857	21432491	2	0
TCGA-FD-A43X	9	21434678	22030955	0	0
TCGA-FD-A43X	9	22031005	37622777	2	0
TCGA-FD-A43X	9	37625869	47217176	2	2
TCGA-FD-A43X	9	65616971	141091394	3	0
TCGA-FD-A43X	10	72759	72971738	2	2
TCGA-FD-A43X	10	72975462	75547241	2	0
TCGA-FD-A43X	10	75549195	112918176	2	2
TCGA-FD-A43X	10	112918429	113146215	2	0
TCGA-FD-A43X	10	113149229	135506704	2	2
TCGA-FD-A43X	11	198572	117604207	2	2
TCGA-FD-A43X	11	117605098	121575457	2	0
TCGA-FD-A43X	11	121578945	121783042	1	1
TCGA-FD-A43X	11	121784702	134944770	2	2
TCGA-FD-A43X	12	150442	133778189	2	2
TCGA-FD-A43X	13	19026949	115108397	3	2
TCGA-FD-A43X	14	19002124	22497148	2	2
TCGA-FD-A43X	14	22497200	22978775	3	2
TCGA-FD-A43X	14	22983223	107285437	2	2
TCGA-FD-A43X	15	20016328	102469040	5	2
TCGA-FD-A43X	16	60777	90287535	2	2
TCGA-FD-A43X	17	526	15695418	2	0
TCGA-FD-A43X	17	15695569	16757147	1	1
TCGA-FD-A43X	17	16763555	22227841	2	0
TCGA-FD-A43X	17	22235650	81049726	4	2
TCGA-FD-A43X	18	48133	78015057	2	2
TCGA-FD-A43X	19	90910	59097854	3	2
TCGA-FD-A43X	20	61305	62956153	4	2
TCGA-FD-A43X	21	10736871	24449084	2	0
TCGA-FD-A43X	21	24449684	30861675	3	3
TCGA-FD-A43X	21	30863477	34365083	2	0
TCGA-FD-A43X	21	34366129	35945336	3	3
TCGA-FD-A43X	21	35945747	36937915	2	0
TCGA-FD-A43X	21	36938038	36940444	6	1
TCGA-FD-A43X	21	36944234	37255267	4	2
TCGA-FD-A43X	21	37258375	44255188	2	0
TCGA-FD-A43X	21	44264522	48096957	3	3
TCGA-FD-A43X	22	16052528	51234455	2	2
TCGA-FD-A43X	X	168477	2694240	3	2
TCGA-FD-A43X	X	2703391	155233846	2	0
