sample	chr	startpos	endpos	nMajor	nMinor
TCGA-3P-A9WA	1	61735	21391314	2	2
TCGA-3P-A9WA	1	21391875	21779898	4	2
TCGA-3P-A9WA	1	21783980	43187067	2	2
TCGA-3P-A9WA	1	43194725	44853953	4	2
TCGA-3P-A9WA	1	44860224	105720987	2	2
TCGA-3P-A9WA	1	105725458	105794919	1	0
TCGA-3P-A9WA	1	105796855	154964741	2	2
TCGA-3P-A9WA	1	154965990	155467277	6	2
TCGA-3P-A9WA	1	155470384	177837063	2	2
TCGA-3P-A9WA	1	177837427	178190310	4	2
TCGA-3P-A9WA	1	178191210	190331741	2	2
TCGA-3P-A9WA	1	190335741	202008442	2	1
TCGA-3P-A9WA	1	202011582	202211733	4	1
TCGA-3P-A9WA	1	202223877	203845958	2	1
TCGA-3P-A9WA	1	203848306	207443151	4	1
TCGA-3P-A9WA	1	207444109	208853845	4	4
TCGA-3P-A9WA	1	208853909	245768036	4	1
TCGA-3P-A9WA	1	245768212	245894318	4	2
TCGA-3P-A9WA	1	245898111	249224388	4	1
TCGA-3P-A9WA	2	12784	260677	2	2
TCGA-3P-A9WA	2	260960	747161	5	2
TCGA-3P-A9WA	2	751300	64575738	2	2
TCGA-3P-A9WA	2	64576974	64812799	4	2
TCGA-3P-A9WA	2	64813491	69687302	2	2
TCGA-3P-A9WA	2	69687968	70365447	1	0
TCGA-3P-A9WA	2	70368923	113733619	2	2
TCGA-3P-A9WA	2	113734407	114087669	4	2
TCGA-3P-A9WA	2	114090412	143905232	2	2
TCGA-3P-A9WA	2	143905715	143972201	1	0
TCGA-3P-A9WA	2	143976480	180573295	2	2
TCGA-3P-A9WA	2	180573862	180876702	2	0
TCGA-3P-A9WA	2	180877386	217596250	2	2
TCGA-3P-A9WA	2	217596468	243089456	2	0
TCGA-3P-A9WA	3	60345	4563118	2	2
TCGA-3P-A9WA	3	4563657	4762095	4	2
TCGA-3P-A9WA	3	4763999	24942267	2	2
TCGA-3P-A9WA	3	24942525	25024169	4	2
TCGA-3P-A9WA	3	25025239	32050190	2	2
TCGA-3P-A9WA	3	32058423	32330809	4	2
TCGA-3P-A9WA	3	32340586	41035766	2	2
TCGA-3P-A9WA	3	41036647	41107229	4	2
TCGA-3P-A9WA	3	41110710	50077528	2	2
TCGA-3P-A9WA	3	50081046	50296953	4	2
TCGA-3P-A9WA	3	50316119	61281829	2	2
TCGA-3P-A9WA	3	61281841	61506768	4	2
TCGA-3P-A9WA	3	61508729	66492452	2	2
TCGA-3P-A9WA	3	66493381	66533987	0	0
TCGA-3P-A9WA	3	66535139	66619082	1	1
TCGA-3P-A9WA	3	66620523	67012816	2	2
TCGA-3P-A9WA	3	67013007	67131885	4	1
TCGA-3P-A9WA	3	67132212	67546745	2	0
TCGA-3P-A9WA	3	67553158	122167680	2	2
TCGA-3P-A9WA	3	122174075	132795728	2	0
TCGA-3P-A9WA	3	132797229	132860651	4	0
TCGA-3P-A9WA	3	132861319	142004437	2	0
TCGA-3P-A9WA	3	142008003	148590881	5	2
TCGA-3P-A9WA	3	148591408	148661164	5	5
TCGA-3P-A9WA	3	148661836	149209461	6	2
TCGA-3P-A9WA	3	149213039	150268746	2	2
TCGA-3P-A9WA	3	150269103	172106277	5	2
TCGA-3P-A9WA	3	172106554	172378577	7	2
TCGA-3P-A9WA	3	172381950	197896118	5	2
TCGA-3P-A9WA	4	12281	4290105	4	0
TCGA-3P-A9WA	4	4291358	4437345	2	0
TCGA-3P-A9WA	4	4440128	40187766	4	0
TCGA-3P-A9WA	4	40188494	40427990	6	0
TCGA-3P-A9WA	4	40444292	191027923	2	0
