sample	chr	startpos	endpos	nMajor	nMinor
TCGA-WB-A81W	1	61735	2283313	1	0
TCGA-WB-A81W	1	2283896	2505845	1	1
TCGA-WB-A81W	1	2513055	121482979	1	0
TCGA-WB-A81W	1	144007049	184179172	1	1
TCGA-WB-A81W	1	184180060	184442282	3	1
TCGA-WB-A81W	1	184446612	234481678	1	1
TCGA-WB-A81W	1	234491703	234707627	2	1
TCGA-WB-A81W	1	234708035	249224388	1	1
TCGA-WB-A81W	2	12784	27061253	1	1
TCGA-WB-A81W	2	27073640	27319611	2	1
TCGA-WB-A81W	2	27321887	152814028	1	1
TCGA-WB-A81W	2	152814464	153012530	2	1
TCGA-WB-A81W	2	153012817	243089456	1	1
TCGA-WB-A81W	3	60345	106652420	1	0
TCGA-WB-A81W	3	106652985	107005042	2	0
TCGA-WB-A81W	3	107006033	197896118	1	0
TCGA-WB-A81W	4	12281	191027923	1	1
TCGA-WB-A81W	5	15532	180790320	1	1
TCGA-WB-A81W	6	149661	171051005	1	1
TCGA-WB-A81W	7	43259	101737530	1	1
TCGA-WB-A81W	7	101737572	101915613	2	1
TCGA-WB-A81W	7	101915662	159127004	1	1
TCGA-WB-A81W	8	31254	101695334	1	1
TCGA-WB-A81W	8	101696942	101942349	2	1
TCGA-WB-A81W	8	101948681	146298155	1	1
TCGA-WB-A81W	9	46587	141091394	1	1
TCGA-WB-A81W	10	72759	76222728	1	1
TCGA-WB-A81W	10	76222754	76533262	2	1
TCGA-WB-A81W	10	76533307	135506704	1	1
TCGA-WB-A81W	11	198572	112549164	1	1
TCGA-WB-A81W	11	112555002	112918941	2	1
TCGA-WB-A81W	11	112918985	134944770	1	1
TCGA-WB-A81W	12	150442	66915295	1	1
TCGA-WB-A81W	12	66915309	67178427	2	1
TCGA-WB-A81W	12	67187320	132479398	1	1
TCGA-WB-A81W	12	132484438	133778189	1	0
TCGA-WB-A81W	13	19026949	115108397	1	1
TCGA-WB-A81W	14	19002124	88948459	1	1
TCGA-WB-A81W	14	88950922	89097193	2	1
TCGA-WB-A81W	14	89102558	107285437	1	1
TCGA-WB-A81W	15	20016328	102469040	1	1
TCGA-WB-A81W	16	60777	9286860	1	1
TCGA-WB-A81W	16	9287873	9571041	2	1
TCGA-WB-A81W	16	9574228	77534603	1	1
TCGA-WB-A81W	16	77537388	77911738	2	1
TCGA-WB-A81W	16	77912843	89966846	1	1
TCGA-WB-A81W	16	89967031	90287535	2	0
TCGA-WB-A81W	17	526	285944	2	0
TCGA-WB-A81W	17	285990	25270411	1	0
TCGA-WB-A81W	17	25270517	34923089	2	0
TCGA-WB-A81W	17	34931836	81049726	2	1
TCGA-WB-A81W	18	48133	15396945	1	0
TCGA-WB-A81W	18	15401763	78015057	1	1
TCGA-WB-A81W	19	90910	59097854	1	1
TCGA-WB-A81W	20	61305	57736749	1	1
TCGA-WB-A81W	20	57738907	57810673	2	1
TCGA-WB-A81W	20	57811165	62956153	1	1
TCGA-WB-A81W	21	10736871	15302752	2	0
TCGA-WB-A81W	21	15303312	48096957	1	1
TCGA-WB-A81W	22	16052528	19546995	1	0
TCGA-WB-A81W	22	19548504	19902071	2	0
TCGA-WB-A81W	22	19905802	51234455	1	0
TCGA-WB-A81W	X	168477	2679093	1	1
TCGA-WB-A81W	X	2686502	2703633	2	1
TCGA-WB-A81W	X	2703955	155233846	1	0
