sample	chr	startpos	endpos	nMajor	nMinor
TCGA-2H-A9GI	1	61735	121482979	2	0
TCGA-2H-A9GI	1	144007049	249224388	2	1
TCGA-2H-A9GI	2	12784	243089456	2	1
TCGA-2H-A9GI	3	60345	60218337	1	1
TCGA-2H-A9GI	3	60218434	60370637	0	0
TCGA-2H-A9GI	3	60372144	60495313	1	0
TCGA-2H-A9GI	3	60497106	60543483	0	0
TCGA-2H-A9GI	3	60544132	60613659	1	0
TCGA-2H-A9GI	3	60613849	60677404	1	1
TCGA-2H-A9GI	3	60677502	60728833	1	0
TCGA-2H-A9GI	3	60729883	88332159	1	1
TCGA-2H-A9GI	3	88339520	93519478	1	0
TCGA-2H-A9GI	3	93520016	118801524	3	0
TCGA-2H-A9GI	3	118801854	165637529	2	0
TCGA-2H-A9GI	3	165639928	167077840	6	2
TCGA-2H-A9GI	3	167079380	167781298	4	2
TCGA-2H-A9GI	3	167784116	169119683	19	1
TCGA-2H-A9GI	3	169120738	170664792	13	1
TCGA-2H-A9GI	3	170670279	173118427	5	2
TCGA-2H-A9GI	3	173119768	173455276	8	2
TCGA-2H-A9GI	3	173456106	197896118	2	0
TCGA-2H-A9GI	4	12281	890784	2	1
TCGA-2H-A9GI	4	893287	69608276	1	1
TCGA-2H-A9GI	4	69612507	71681861	3	1
TCGA-2H-A9GI	4	71682404	91544591	1	1
TCGA-2H-A9GI	4	91545660	91628740	1	0
TCGA-2H-A9GI	4	91630043	91724184	0	0
TCGA-2H-A9GI	4	91724197	91897063	1	0
TCGA-2H-A9GI	4	91898938	110166732	1	1
TCGA-2H-A9GI	4	110169236	110595483	2	1
TCGA-2H-A9GI	4	110602430	134650859	1	0
TCGA-2H-A9GI	4	134651308	135427271	2	0
TCGA-2H-A9GI	4	135427782	137096683	1	0
TCGA-2H-A9GI	4	137100329	137894726	0	0
TCGA-2H-A9GI	4	137897906	141488732	1	0
TCGA-2H-A9GI	4	141491576	141723577	2	0
TCGA-2H-A9GI	4	141723577	142404624	1	0
TCGA-2H-A9GI	4	142406259	142719886	2	0
TCGA-2H-A9GI	4	142723797	143895634	1	0
TCGA-2H-A9GI	4	143895825	144438894	4	0
TCGA-2H-A9GI	4	144442089	146133369	6	0
TCGA-2H-A9GI	4	146133826	148085022	2	0
TCGA-2H-A9GI	4	148090028	150263828	1	0
TCGA-2H-A9GI	4	150272872	151222147	2	0
TCGA-2H-A9GI	4	151222266	152990286	4	0
TCGA-2H-A9GI	4	152990893	159442164	1	0
TCGA-2H-A9GI	4	159442339	159729794	2	0
TCGA-2H-A9GI	4	159732671	163916621	1	0
TCGA-2H-A9GI	4	163919806	164365858	9	0
TCGA-2H-A9GI	4	164366036	191027923	1	0
TCGA-2H-A9GI	5	15532	49432831	3	0
TCGA-2H-A9GI	5	49441958	59359461	1	0
TCGA-2H-A9GI	5	59360341	103119147	1	1
TCGA-2H-A9GI	5	103119334	103565952	1	0
TCGA-2H-A9GI	5	103569755	142047434	1	1
TCGA-2H-A9GI	5	142049229	180790320	2	1
TCGA-2H-A9GI	6	149661	12391341	3	1
TCGA-2H-A9GI	6	12391958	12506128	5	1
TCGA-2H-A9GI	6	12506386	57590446	3	1
TCGA-2H-A9GI	6	57591840	62682767	3	2
TCGA-2H-A9GI	6	62683123	66304163	2	1
TCGA-2H-A9GI	6	66304460	171051005	2	2
TCGA-2H-A9GI	7	43259	47813826	1	1
TCGA-2H-A9GI	7	47817377	47888483	2	1
TCGA-2H-A9GI	7	47891139	110023361	1	1
TCGA-2H-A9GI	7	110023417	110040090	1	0
TCGA-2H-A9GI	7	110040926	110126445	1	1
TCGA-2H-A9GI	7	110129145	110535011	1	0
TCGA-2H-A9GI	7	110537520	144213477	1	1
TCGA-2H-A9GI	7	144214035	147790370	2	1
TCGA-2H-A9GI	7	147790781	159127004	1	1
TCGA-2H-A9GI	8	31254	95616734	2	1
TCGA-2H-A9GI	8	95616980	100052501	2	0
TCGA-2H-A9GI	8	100057238	146298155	2	1
TCGA-2H-A9GI	9	46587	9308675	2	0
TCGA-2H-A9GI	9	9311838	9323920	1	1
TCGA-2H-A9GI	9	9327355	9572365	0	0
TCGA-2H-A9GI	9	9572790	9769633	1	0
TCGA-2H-A9GI	9	9776138	19577292	2	0
TCGA-2H-A9GI	9	19578305	25805127	0	0
TCGA-2H-A9GI	9	25806628	31233304	1	0
TCGA-2H-A9GI	9	31233318	34713943	3	0
TCGA-2H-A9GI	9	34714359	35802583	4	0
TCGA-2H-A9GI	9	35804149	37442516	2	0
TCGA-2H-A9GI	9	37443541	47217176	2	2
TCGA-2H-A9GI	9	65616971	141091394	2	1
TCGA-2H-A9GI	10	72759	24388427	2	0
TCGA-2H-A9GI	10	24390965	24938011	1	0
TCGA-2H-A9GI	10	24938407	44653230	2	0
TCGA-2H-A9GI	10	44654249	72652377	1	0
TCGA-2H-A9GI	10	72652639	104170841	2	0
TCGA-2H-A9GI	10	104171141	105419287	2	1
TCGA-2H-A9GI	10	105428963	105988353	3	2
TCGA-2H-A9GI	10	105993301	114392981	2	0
TCGA-2H-A9GI	10	114394794	114969015	6	2
TCGA-2H-A9GI	10	114969063	114972101	4	1
TCGA-2H-A9GI	10	114976038	135506704	2	0
TCGA-2H-A9GI	11	198572	364390	1	0
TCGA-2H-A9GI	11	365502	1285979	3	0
TCGA-2H-A9GI	11	1291789	1909006	6	0
TCGA-2H-A9GI	11	1917872	51441225	2	0
TCGA-2H-A9GI	11	51441936	54841517	5	1
TCGA-2H-A9GI	11	54857922	66388786	2	0
TCGA-2H-A9GI	11	66389686	67294198	4	0
TCGA-2H-A9GI	11	67294308	70933968	3	0
TCGA-2H-A9GI	11	70934040	71868590	2	0
TCGA-2H-A9GI	11	71871083	123683274	3	0
TCGA-2H-A9GI	11	123683547	126174547	1	0
TCGA-2H-A9GI	11	126177848	134944770	2	0
TCGA-2H-A9GI	12	150442	4359131	2	0
TCGA-2H-A9GI	12	4359472	70871858	2	1
TCGA-2H-A9GI	12	70872675	71303585	3	2
TCGA-2H-A9GI	12	71304577	133778189	2	0
TCGA-2H-A9GI	13	19026949	20011639	3	0
TCGA-2H-A9GI	13	20013673	22963077	3	1
TCGA-2H-A9GI	13	22967779	24677027	3	2
TCGA-2H-A9GI	13	24677307	25479541	3	1
TCGA-2H-A9GI	13	25479577	26002773	4	1
TCGA-2H-A9GI	13	26003173	43231936	4	2
TCGA-2H-A9GI	13	43232013	43415804	5	4
TCGA-2H-A9GI	13	43418983	53549370	4	0
TCGA-2H-A9GI	13	53549773	54034124	5	0
TCGA-2H-A9GI	13	54034731	55521444	3	0
TCGA-2H-A9GI	13	55521783	87006100	4	0
TCGA-2H-A9GI	13	87008729	93298066	5	0
TCGA-2H-A9GI	13	93299424	115108397	4	0
TCGA-2H-A9GI	14	19002124	107285437	2	1
TCGA-2H-A9GI	15	20016328	102469040	2	1
TCGA-2H-A9GI	16	60777	68151994	2	1
TCGA-2H-A9GI	16	68153922	78740680	3	0
TCGA-2H-A9GI	16	78748752	78811350	0	0
TCGA-2H-A9GI	16	78812000	90287535	3	0
TCGA-2H-A9GI	17	526	19130231	3	0
TCGA-2H-A9GI	17	19149286	22227841	2	0
TCGA-2H-A9GI	17	22235650	37672328	2	1
TCGA-2H-A9GI	17	37673703	38041774	21	4
TCGA-2H-A9GI	17	38047471	38543396	4	2
TCGA-2H-A9GI	17	38544444	39962930	25	1
TCGA-2H-A9GI	17	39968701	47545371	2	1
TCGA-2H-A9GI	17	47547111	47875864	8	2
TCGA-2H-A9GI	17	47878849	81049726	2	1
TCGA-2H-A9GI	18	48133	3133302	1	1
TCGA-2H-A9GI	18	3138199	12212957	1	0
TCGA-2H-A9GI	18	12218708	14661643	1	1
TCGA-2H-A9GI	18	14663913	15328076	1	0
TCGA-2H-A9GI	18	15347915	31962291	2	1
TCGA-2H-A9GI	18	31964197	33222198	1	1
TCGA-2H-A9GI	18	33222414	37457047	2	1
TCGA-2H-A9GI	18	37459156	38646451	1	1
TCGA-2H-A9GI	18	38648260	40760991	1	0
TCGA-2H-A9GI	18	40761143	78015057	1	1
TCGA-2H-A9GI	19	90910	20218177	1	1
TCGA-2H-A9GI	19	20218226	28304700	2	1
TCGA-2H-A9GI	19	28304729	59097854	1	1
TCGA-2H-A9GI	20	61305	14615094	2	0
TCGA-2H-A9GI	20	14615924	14849853	1	0
TCGA-2H-A9GI	20	14850101	15061267	0	0
TCGA-2H-A9GI	20	15061595	29420352	2	0
TCGA-2H-A9GI	20	29420553	62956153	3	3
TCGA-2H-A9GI	21	10736871	48096957	2	1
TCGA-2H-A9GI	22	16052528	44560133	1	1
TCGA-2H-A9GI	22	44560839	45568419	2	1
TCGA-2H-A9GI	22	45568445	51234455	1	1
TCGA-2H-A9GI	X	168477	2703391	1	1
TCGA-2H-A9GI	X	2703633	32304724	1	0
TCGA-2H-A9GI	X	32305619	32503826	0	0
TCGA-2H-A9GI	X	32507040	57608538	1	0
TCGA-2H-A9GI	X	57611310	58549568	3	0
TCGA-2H-A9GI	X	58561091	154929498	2	0
TCGA-2H-A9GI	X	154963439	155233846	2	1
