sample	chr	startpos	endpos	nMajor	nMinor
TCGA-UD-AAC4	1	61735	30097207	1	0
TCGA-UD-AAC4	1	30097294	36446975	3	1
TCGA-UD-AAC4	1	36449469	37256380	2	1
TCGA-UD-AAC4	1	37257092	37713688	1	0
TCGA-UD-AAC4	1	37715508	41949017	3	1
TCGA-UD-AAC4	1	41949538	46063054	1	1
TCGA-UD-AAC4	1	46066608	47280884	2	1
TCGA-UD-AAC4	1	47281827	209982073	1	1
TCGA-UD-AAC4	1	209982293	211411126	1	0
TCGA-UD-AAC4	1	211415950	211676270	1	1
TCGA-UD-AAC4	1	211678947	216017799	1	0
TCGA-UD-AAC4	1	216018402	216526481	1	1
TCGA-UD-AAC4	1	216527576	217813772	1	0
TCGA-UD-AAC4	1	217821004	233745281	1	1
TCGA-UD-AAC4	1	233746259	233892007	1	0
TCGA-UD-AAC4	1	233892486	241058446	1	1
TCGA-UD-AAC4	1	241065033	242673570	1	0
TCGA-UD-AAC4	1	242674382	249224388	1	1
TCGA-UD-AAC4	2	12784	243089456	1	1
TCGA-UD-AAC4	3	60345	19454670	1	1
TCGA-UD-AAC4	3	19454959	56729129	1	0
TCGA-UD-AAC4	3	56738420	104436026	1	1
TCGA-UD-AAC4	3	104437203	105058737	1	0
TCGA-UD-AAC4	3	105063216	120516492	1	1
TCGA-UD-AAC4	3	120516813	120587339	1	0
TCGA-UD-AAC4	3	120587590	197896118	1	1
TCGA-UD-AAC4	4	12281	182078824	1	1
TCGA-UD-AAC4	4	182078896	182271074	1	0
TCGA-UD-AAC4	4	182271721	191027923	1	1
TCGA-UD-AAC4	5	15532	164982796	1	1
TCGA-UD-AAC4	5	164983585	165182059	1	0
TCGA-UD-AAC4	5	165184128	180603719	1	1
TCGA-UD-AAC4	5	180606565	180790320	1	0
TCGA-UD-AAC4	6	149661	4255640	1	1
TCGA-UD-AAC4	6	4255745	4645364	2	1
TCGA-UD-AAC4	6	4646162	39419352	1	1
TCGA-UD-AAC4	6	39429091	54865550	1	0
TCGA-UD-AAC4	6	54869236	55054739	2	0
TCGA-UD-AAC4	6	55056953	55064211	1	0
TCGA-UD-AAC4	6	55065806	117939097	1	1
TCGA-UD-AAC4	6	117941011	120909925	1	0
TCGA-UD-AAC4	6	120910488	171051005	1	1
