sample	chr	startpos	endpos	nMajor	nMinor
TCGA-YU-A94D	1	61735	121482979	1	1
TCGA-YU-A94D	1	144007049	231900441	2	1
TCGA-YU-A94D	1	231902130	231985531	1	1
TCGA-YU-A94D	1	231985580	243021809	2	1
TCGA-YU-A94D	1	243023342	249224388	1	1
TCGA-YU-A94D	2	12784	263085	1	1
TCGA-YU-A94D	2	263270	243089456	2	1
TCGA-YU-A94D	3	60345	975693	1	1
TCGA-YU-A94D	3	978637	1017408	1	0
TCGA-YU-A94D	3	1018269	197896118	1	1
TCGA-YU-A94D	4	12281	191027923	1	1
TCGA-YU-A94D	5	15532	9351376	1	1
TCGA-YU-A94D	5	9351827	9380798	1	0
TCGA-YU-A94D	5	9380904	96522591	1	1
TCGA-YU-A94D	5	96522675	99439504	2	1
TCGA-YU-A94D	5	99439995	180790320	1	1
TCGA-YU-A94D	6	149661	171051005	1	1
TCGA-YU-A94D	7	43259	159127004	1	1
TCGA-YU-A94D	8	31254	146298155	2	1
TCGA-YU-A94D	9	46587	141091394	1	1
TCGA-YU-A94D	10	72759	135506704	1	1
TCGA-YU-A94D	11	198572	134944770	1	1
TCGA-YU-A94D	12	150442	34854498	3	1
TCGA-YU-A94D	12	37857751	133778189	1	1
TCGA-YU-A94D	13	19026949	115108397	1	1
TCGA-YU-A94D	14	19002124	107285437	1	1
TCGA-YU-A94D	15	20016328	102469040	1	1
TCGA-YU-A94D	16	60777	29580034	1	1
TCGA-YU-A94D	16	29580611	30190042	1	0
TCGA-YU-A94D	16	30191907	90287535	1	1
TCGA-YU-A94D	17	526	81049726	1	1
TCGA-YU-A94D	18	48133	78015057	1	1
TCGA-YU-A94D	19	90910	59097854	1	1
TCGA-YU-A94D	20	61305	62956153	1	1
TCGA-YU-A94D	21	10736871	48096957	1	1
TCGA-YU-A94D	22	16052528	51234455	1	1
TCGA-YU-A94D	X	168477	2693624	2	1
TCGA-YU-A94D	X	2694240	19472324	2	0
TCGA-YU-A94D	X	19472784	19508518	1	0
TCGA-YU-A94D	X	19508909	134068087	2	0
TCGA-YU-A94D	X	134069511	134113169	1	0
TCGA-YU-A94D	X	134114079	154929308	2	0
TCGA-YU-A94D	X	154929498	155233846	2	1
